&	e comercial
🙇	perdão
🙈	macaco que não vê nada
🙉	macaco que não ouve nada
🙊	macaco que não fala nada
🙋	levantando a mão
🙌	mãos para cima
🙍	franzindo a sobrancelha
🙎	fazendo bico
🙏	mãos juntas
🚀	foguete
🚁	helicóptero
🚂	locomotiva
🚃	vagão de trem
🚄	trem de alta velocidade
🚅	trem de alta velocidade japonês
🚆	trem
🚇	metrô
🚈	trem urbano
🚉	estação
🚊	bonde elétrico
🚋	bonde
🚌	ônibus
🚍	ônibus se aproximando
🚎	ônibus movido a eletricidade
🚏	ponto de ônibus
🚐	van
🚑	ambulância
🚒	carro do corpo de bombeiros
🚓	viatura policial
🚔	viatura policial se aproximando
🚕	táxi
🚖	táxi se aproximando
🚗	carro
🚘	carro se aproximando
🚙	trailer
🚚	caminhão de entrega
🚛	caminhão
🚜	trator
🚝	monotrilho
🚞	estrada de ferro na montanha
🚟	estrada de ferro suspensa
🚠	cabo suspenso usado em teleféricos nas montanhas
🚡	teleférico
🚢	navio
🚣	barco a remo
🚤	lancha
🚥	semáforo horizontal
🚦	semáforo vertical
🚧	em construção
🚨	luz giratória
🚩	bandeira triangular
🚪	porta
🚫	proibido
🚬	cigarro
🚭	proibido fumar
🚮	símbolo de lixeira
🚯	proibido jogar lixo no chão
🚰	água potável
🚱	água não potável
🚲	bicicleta
🚳	proibido andar de bicicleta
🚴	ciclista
🚵	ciclista das montanhas
🚶	pedestre
🚷	proibida a passagem de pedestres
🚸	crianças atravessando
🚹	banheiro masculino
🚺	banheiro feminino
🚻	banheiro
🚼	símbolo de bebê
🚽	vaso sanitário
🚾	banheiro
🚿	chuveiro
🛀	banho
🛁	banheira
🛂	controle de passaportes
🛃	alfândega
🛄	restituição de bagagem
🛅	depósito de bagagem
🛋	sofá e luminária
🛌	pessoa deitada na cama
🛍	sacolas de compras
🛎	sineta
🛏	cama
🛐	local de culto
🛑	sinal de pare
🛒	carrinho de compras
🛕	templo hindu
🛖	cabana
🛗	elevador
🛜	sem fio
🛝	escorregador
🛞	roda
🛟	boia
🛠	martelo e chave-inglesa
🛡	escudo
🛢	lata de óleo
🛣	estrada
🛤	trilhos
🛥	barco
🛩	avião pequeno
🛫	avião decolando
🛬	avião aterrissando
🛰	satélite
🛳	cruzeiro
🛴	patinete
🛵	scooter
🛶	canoa
🛷	trenó
🛸	disco voador
🛹	skate
🛺	automóvel riquixá
🛻	caminhonete
🛼	patins de rodas
🟠	círculo laranja
🟡	círculo amarelo
🟢	círculo verde
🟣	círculo roxo
🟤	círculo marrom
🟥	quadrado vermelho
🟦	quadrado azul
🟧	quadrado laranja
🟨	quadrado amarelo
🟩	quadrado verde
🟪	quadrado roxo
🟫	quadrado marrom
🟰	sinal de igual
🤌	dedos comprimidos
🤍	coração branco
🤎	coração marrom
🤏	mão beliscando
🤐	rosto com boca de zíper
🤑	rosto com cifrões
🤒	rosto com termômetro
🤓	rosto de nerd
🤔	rosto pensativo
🤕	rosto com atadura na cabeça
🤖	rosto de robô
🤗	rosto abraçando
🤘	saudação do rock
🤙	sinal me liga
🤚	dorso da mão levantado
🤛	punho esquerdo
🤜	punho direito
🤝	aperto de mãos
🤞	dedos cruzados
🤟	te amo em libras
🤠	rosto com chapéu de caubói
🤡	rosto de palhaço
🤢	rosto nauseado
🤣	rosto rolando no chão de rir
🤤	rosto babando
🤥	rosto de mentiroso
🤦	pessoa decepcionada
🤧	rosto espirrando
🤨	rosto com sobrancelha levantada
🤩	rosto com olhar maravilhado
🤪	rosto louco
🤫	rosto fazendo sinal de silêncio
🤬	rosto com símbolos na boca
🤭	rosto com a mão sobre a boca
🤮	rosto vomitando
🤯	cabeça explodindo
🤰	mulher grávida
🤱	amamentando
🤲	palmas unidas para cima
🤳	selfie
🤴	príncipe
🤵	homem de smoking
🤶	mamãe noel
🤷	dar de ombros
🤸	estrela
🤹	malabarismo
🤺	esgrimista
🤼	lutadores
🤽	polo aquático
🤾	handebol
🤿	máscara de mergulho
🥀	flor murcha
🥁	tambor
🥂	taças brindando
🥃	copo
🥄	colher
🥅	gol
🥇	medalha de ouro
🥈	medalha de prata
🥉	medalha de bronze
🥊	luva de boxe
🥋	quimono de artes marciais
🥌	pedra de curling
🥍	lacrosse
🥎	softbol
🥏	frisbee
🥐	croissant
🥑	abacate
🥒	pepino
🥓	bacon
🥔	batata
🥕	cenoura
🥖	baguete
🥗	salada verde
🥘	caçarola com comida
🥙	pão recheado
🥚	ovo
🥛	copo de leite
🥜	amendoim
🥝	kiwi
🥞	panquecas
🥟	bolinho
🥠	biscoito da sorte
🥡	caixa para viagem
🥢	hashi
🥣	tigela com colher
🥤	copo com canudo
🥥	coco
🥦	brócolis
🥧	torta
🥨	pretzel
🥩	corte de carne
🥪	sanduíche
🥫	comida enlatada
🥬	verdura
🥭	manga
🥮	bolo lunar
🥯	rosca
🥰	rosto sorridente com três corações
🥱	rosto bocejando
🥲	rosto sorridente com lágrima
🥳	rosto festivo
🥴	rosto embriagado
🥵	rosto fervendo de calor
🥶	rosto gelado
🥷	ninja
🥸	rosto disfarçado
🥹	rosto segurando as lágrimas
🥺	rosto implorando
🥻	sari
🥼	jaleco
🥽	óculos de proteção
🥾	bota de trekking
🥿	sapatilha
🦀	caranguejo
🦁	leão
🦂	escorpião
🦃	peru
🦄	unicórnio
🦅	águia
🦆	pato
🦇	morcego
🦈	tubarão
🦉	coruja
🦊	raposa
🦋	borboleta
🦌	cervo
🦍	gorila
🦎	lagartixa
🦏	rinoceronte
🦐	camarão
🦑	lula
🦒	girafa
🦓	zebra
🦔	porco-espinho
🦕	saurópode
🦖	tiranossauro rex
🦗	grilo
🦘	canguru
🦙	lhama
🦚	pavão
🦛	hipopótamo
🦜	papagaio
🦝	guaxinim
🦞	lagosta
🦟	mosquito
🦠	micróbio
🦡	texugo
🦢	cisne
🦣	mamute
🦤	dodô
🦥	preguiça
🦦	lontra
🦧	orangotango
🦨	gambá
🦩	flamingo
🦪	ostra
🦫	castor
🦬	bisão
🦭	foca
🦮	cão-guia
🦯	bengala para cegos
🦰	cabelo vermelho
🦱	cabelo cacheado
🦲	careca
🦳	cabelo branco
🦴	osso
🦵	perna
🦶	pé
🦷	dente
🦸	super-herói
🦹	supervilão
🦺	colete salva-vidas
🦻	ouvido com aparelho auditivo
🦼	cadeira de rodas motorizada
🦽	cadeira de rodas manual
🦾	braço mecânico
🦿	perna mecânica
🧀	queijo
🧁	cupcake
🧂	sal
🧃	suco de caixa
🧄	alho
🧅	cebola
🧆	falafel
🧇	waffle
🧈	manteiga
🧉	mate
🧊	cubo de gelo
🧋	chá perolado
🧌	troll
🧍	pessoa em pé
🧎	pessoa ajoelhando
🧏	pessoa surda
🧐	rosto com monóculo
🧑	adulto
🧒	criança
🧓	idoso
🧔	barbudo
🧕	mulher com véu
🧖	pessoa na sauna
🧗	pessoa escalando
🧘	pessoa na posição de lótus
🧙	mago
🧚	fada
🧛	vampiro
🧜	pessoa sereia
🧝	elfo
🧞	gênio
🧟	zumbi
🧠	cérebro
🧡	coração laranja
🧢	boné
🧣	cachecol
🧤	luvas
🧥	casaco
🧦	meias
🧧	envelope vermelho
🧨	bombinha
🧩	quebra-cabeça
🧪	tubo de ensaio
🧫	placa de Petri
🧬	dna
🧭	bússola
🧮	ábaco
🧯	extintor de incêndio
🧰	caixa de ferramentas
🧱	tijolo
🧲	ímã
🧳	mala
🧴	frasco de loção
🧵	carretel
🧶	novelo
🧷	alfinete de segurança
🧸	ursinho de pelúcia
🧹	vassoura
🧺	cesta
🧻	rolo de papel
🧼	sabonete
🧽	esponja
🧾	recibo
🧿	olho turco
🇦🇨	bandeira da Ilha de Ascensão
🇦🇩	bandeira de Andorra
🇦🇪	bandeira de Emirados Árabes Unidos
🇦🇫	bandeira de Afeganistão
🇦🇬	bandeira de Antígua e Barbuda
🇦🇮	bandeira de Anguilla
🇦🇱	bandeira de Albânia
🇦🇲	bandeira de Armênia
🇦🇴	bandeira de Angola
🇦🇶	bandeira de Antártida
🇦🇷	bandeira da Argentina
🇦🇸	bandeira de Samoa Americana
🇦🇹	bandeira de Áustria
🇦🇺	bandeira da Austrália
🇦🇼	bandeira de Aruba
🇦🇽	bandeira das Ilhas Aland
🇦🇿	bandeira de Azerbaijão
🇧🇦	bandeira de Bósnia e Herzegovina
🇧🇧	bandeira de Barbados
🇧🇩	bandeira de Bangladesh
🇧🇪	bandeira de Bélgica
🇧🇫	bandeira de Burquina Faso
🇧🇬	bandeira de Bulgária
🇧🇭	bandeira de Bahrein
🇧🇮	bandeira de Burundi
🇧🇯	bandeira de Benin
🇧🇱	bandeira de São Bartolomeu
🇧🇲	bandeira de Bermudas
🇧🇳	bandeira de Brunei
🇧🇴	bandeira de Bolívia
🇧🇶	bandeira de Países Baixos Caribenhos
🇧🇷	bandeira do Brasil
🇧🇸	bandeira de Bahamas
🇧🇹	bandeira de Butão
🇧🇻	bandeira da Ilha Bouvet
🇧🇼	bandeira de Botsuana
🇧🇾	bandeira de Bielorrússia
🇧🇿	bandeira de Belize
🇨🇦	bandeira de Canadá
🇨🇨	bandeira das Ilhas Cocos (Keeling)
🇨🇩	bandeira de Congo - Kinshasa
🇨🇫	bandeira da República Centro-Africana
🇨🇬	bandeira de Congo - Brazzaville
🇨🇭	bandeira da Suíça
🇨🇮	bandeira de Costa do Marfim
🇨🇰	bandeira das Ilhas Cook
🇨🇱	bandeira de Chile
🇨🇲	bandeira de Camarões
🇨🇳	bandeira da China
🇨🇴	bandeira de Colômbia
🇨🇵	bandeira da Ilha de Clipperton
🇨🇷	bandeira de Costa Rica
🇨🇺	bandeira de Cuba
🇨🇻	bandeira de Cabo Verde
🇨🇼	bandeira de Curaçao
🇨🇽	bandeira da Ilha Christmas
🇨🇾	bandeira de Chipre
🇨🇿	bandeira de Tchéquia
🇩🇪	bandeira da Alemanha
🇩🇬	bandeira de Diego Garcia
🇩🇯	bandeira de Djibuti
🇩🇰	bandeira de Dinamarca
🇩🇲	bandeira de Dominica
🇩🇴	bandeira da República Dominicana
🇩🇿	bandeira de Argélia
🇪🇦	bandeira de Ceuta e Melilha
🇪🇨	bandeira de Equador
🇪🇪	bandeira de Estônia
🇪🇬	bandeira de Egito
🇪🇭	bandeira de Saara Ocidental
🇪🇷	bandeira de Eritreia
🇪🇸	bandeira da Espanha
🇪🇹	bandeira de Etiópia
🇪🇺	bandeira da União Europeia
🇫🇮	bandeira de Finlândia
🇫🇯	bandeira de Fiji
🇫🇰	bandeira das Ilhas Malvinas
🇫🇲	bandeira de Micronésia
🇫🇴	bandeira das Ilhas Faroe
🇫🇷	bandeira da França
🇬🇦	bandeira de Gabão
🇬🇧	bandeira do Reino Unido
🇬🇩	bandeira de Granada
🇬🇪	bandeira de Geórgia
🇬🇫	bandeira de Guiana Francesa
🇬🇬	bandeira de Guernsey
🇬🇭	bandeira de Gana
🇬🇮	bandeira de Gibraltar
🇬🇱	bandeira de Groenlândia
🇬🇲	bandeira de Gâmbia
🇬🇳	bandeira de Guiné
🇬🇵	bandeira de Guadalupe
🇬🇶	bandeira de Guiné Equatorial
🇬🇷	bandeira de Grécia
🇬🇸	bandeira das Ilhas Geórgia do Sul e Sandwich do Sul
🇬🇹	bandeira de Guatemala
🇬🇺	bandeira de Guam
🇬🇼	bandeira de Guiné-Bissau
🇬🇾	bandeira de Guiana
🇭🇰	bandeira de Hong Kong, RAE da China
🇭🇲	bandeira das Ilhas Heard e McDonald
🇭🇳	bandeira de Honduras
🇭🇷	bandeira de Croácia
🇭🇹	bandeira de Haiti
🇭🇺	bandeira de Hungria
🇮🇨	bandeira das Ilhas Canárias
🇮🇩	bandeira de Indonésia
🇮🇪	bandeira de Irlanda
🇮🇱	bandeira de Israel
🇮🇲	bandeira da Ilha de Man
🇮🇳	bandeira da Índia
🇮🇴	bandeira de Território Britânico do Oceano Índico
🇮🇶	bandeira de Iraque
🇮🇷	bandeira de Irã
🇮🇸	bandeira de Islândia
🇮🇹	bandeira da Itália
🇯🇪	bandeira de Jersey
🇯🇲	bandeira da Jamaica
🇯🇴	bandeira de Jordânia
🇯🇵	bandeira de Japão
🇰🇪	bandeira de Quênia
🇰🇬	bandeira de Quirguistão
🇰🇭	bandeira de Camboja
🇰🇮	bandeira de Quiribati
🇰🇲	bandeira de Comores
🇰🇳	bandeira de São Cristóvão e Névis
🇰🇵	bandeira da Coreia do Norte
🇰🇷	bandeira da Coreia do Sul
🇰🇼	bandeira de Kuwait
🇰🇾	bandeira das Ilhas Cayman
🇰🇿	bandeira de Cazaquistão
🇱🇦	bandeira de Laos
🇱🇧	bandeira de Líbano
🇱🇨	bandeira de Santa Lúcia
🇱🇮	bandeira de Liechtenstein
🇱🇰	bandeira de Sri Lanka
🇱🇷	bandeira de Libéria
🇱🇸	bandeira de Lesoto
🇱🇹	bandeira de Lituânia
🇱🇺	bandeira de Luxemburgo
🇱🇻	bandeira de Letônia
🇱🇾	bandeira de Líbia
🇲🇦	bandeira de Marrocos
🇲🇨	bandeira de Mônaco
🇲🇩	bandeira de Moldávia
🇲🇪	bandeira de Montenegro
🇲🇫	bandeira de São Martinho
🇲🇬	bandeira de Madagascar
🇲🇭	bandeira das Ilhas Marshall
🇲🇰	bandeira de Macedônia
🇲🇱	bandeira de Mali
🇲🇲	bandeira de Mianmar (Birmânia)
🇲🇳	bandeira de Mongólia
🇲🇴	bandeira de Macau, RAE da China
🇲🇵	bandeira das Ilhas Marianas do Norte
🇲🇶	bandeira de Martinica
🇲🇷	bandeira de Mauritânia
🇲🇸	bandeira de Montserrat
🇲🇹	bandeira de Malta
🇲🇺	bandeira de Maurício
🇲🇻	bandeira de Maldivas
🇲🇼	bandeira de Malaui
🇲🇽	bandeira de México
🇲🇾	bandeira de Malásia
🇲🇿	bandeira de Moçambique
🇳🇦	bandeira de Namíbia
🇳🇨	bandeira de Nova Caledônia
🇳🇪	bandeira de Níger
🇳🇫	bandeira da Ilha Norfolk
🇳🇬	bandeira de Nigéria
🇳🇮	bandeira de Nicarágua
🇳🇱	bandeira de Holanda
🇳🇴	bandeira de Noruega
🇳🇵	bandeira de Nepal
🇳🇷	bandeira de Nauru
🇳🇺	bandeira de Niue
🇳🇿	bandeira da Nova Zelândia
🇴🇲	bandeira de Omã
🇵🇦	bandeira de Panamá
🇵🇪	bandeira de Peru
🇵🇫	bandeira de Polinésia Francesa
🇵🇬	bandeira de Papua-Nova Guiné
🇵🇭	bandeira de Filipinas
🇵🇰	bandeira de Paquistão
🇵🇱	bandeira de Polônia
🇵🇲	bandeira de São Pedro e Miquelão
🇵🇳	bandeira das Ilhas Pitcairn
🇵🇷	bandeira de Porto Rico
🇵🇸	bandeira de Territórios palestinos
🇵🇹	bandeira de Portugal
🇵🇼	bandeira de Palau
🇵🇾	bandeira de Paraguai
🇶🇦	bandeira de Catar
🇷🇪	bandeira de Reunião
🇷🇴	bandeira de Romênia
🇷🇸	bandeira de Sérvia
🇷🇺	bandeira da Rússia
🇷🇼	bandeira de Ruanda
🇸🇦	bandeira de Arábia Saudita
🇸🇧	bandeira das Ilhas Salomão
🇸🇨	bandeira de Seicheles
🇸🇩	bandeira de Sudão
🇸🇪	bandeira de Suécia
🇸🇬	bandeira de Singapura
🇸🇭	bandeira de Santa Helena
🇸🇮	bandeira de Eslovênia
🇸🇯	bandeira de Svalbard e Jan Mayen
🇸🇰	bandeira de Eslováquia
🇸🇱	bandeira de Serra Leoa
🇸🇲	bandeira de San Marino
🇸🇳	bandeira de Senegal
🇸🇴	bandeira de Somália
🇸🇷	bandeira de Suriname
🇸🇸	bandeira de Sudão do Sul
🇸🇹	bandeira de São Tomé e Príncipe
🇸🇻	bandeira de El Salvador
🇸🇽	bandeira de Sint Maarten
🇸🇾	bandeira de Síria
🇸🇿	bandeira de Suazilândia
🇹🇦	bandeira de Tristão da Cunha
🇹🇨	bandeira das Ilhas Turks e Caicos
🇹🇩	bandeira de Chade
🇹🇫	bandeira de Territórios Franceses do Sul
🇹🇬	bandeira de Togo
🇹🇭	bandeira de Tailândia
🇹🇯	bandeira de Tadjiquistão
🇹🇰	bandeira de Tokelau
🇹🇱	bandeira de Timor-Leste
🇹🇲	bandeira de Turcomenistão
🇹🇳	bandeira de Tunísia
🇹🇴	bandeira de Tonga
🇹🇷	bandeira de Turquia
🇹🇹	bandeira de Trinidad e Tobago
🇹🇻	bandeira de Tuvalu
🇹🇼	bandeira de Taiwan
🇹🇿	bandeira de Tanzânia
🇺🇦	bandeira da Ucrânia
🇺🇬	bandeira de Uganda
🇺🇲	bandeira das Ilhas Menores Distantes dos EUA
🇺🇳	bandeira de Nações Unidas
🇺🇸	bandeira dos Estados Unidos
🇺🇾	bandeira de Uruguai
🇺🇿	bandeira de Uzbequistão
🇻🇦	bandeira de Cidade do Vaticano
🇻🇨	bandeira de São Vicente e Granadinas
🇻🇪	bandeira de Venezuela
🇻🇬	bandeira das Ilhas Virgens Britânicas
🇻🇮	bandeira das Ilhas Virgens Americanas
🇻🇳	bandeira de Vietnã
🇻🇺	bandeira de Vanuatu
🇼🇫	bandeira de Wallis e Futuna
🇼🇸	bandeira de Samoa
🇽🇰	bandeira de Kosovo
🇾🇪	bandeira de Iêmen
🇾🇹	bandeira de Mayotte
🇿🇦	bandeira da África do Sul
🇿🇲	bandeira de Zâmbia
🇿🇼	bandeira de Zimbábue
🏴󠁧󠁢󠁥󠁮󠁧󠁿	bandeira de Inglaterra
🏴󠁧󠁢󠁳󠁣󠁴󠁿	bandeira de Escócia
🏴󠁧󠁢󠁷󠁬󠁳󠁿	bandeira de País de Gales
#️⃣	tecla da cerquilha
*️⃣	tecla do asterisco
0️⃣	tecla do número zero
1️⃣	tecla do número um
2️⃣	tecla do número dois
3️⃣	tecla do número três
4️⃣	tecla do número quatro
5️⃣	tecla do número cinco
6️⃣	tecla do número seis
7️⃣	tecla do número sete
8️⃣	tecla do número oito
9️⃣	tecla do número nove
🩰	sapatilha de balé
🩱	maiô
🩲	cueca
🩳	shorts
🩴	chinelo
🩵	coração azul-claro
🩶	coração cinza
🩷	coração rosa
🩸	gota de sangue
🩹	atadura adesiva
🩺	estetoscópio
🩻	raio x
🩼	muleta
🪀	ioiô
🪁	pipa
🪂	paraquedas
🪃	bumerangue
🪄	varinha mágica
🪅	pinhata
🪆	boneca russa
🪇	maracás
🪈	flauta
🪉	harpa
🪏	pá
🪐	planeta com anéis
🪑	cadeira
🪒	lâmina
🪓	machado
🪔	lâmpada de óleo
🪕	banjo
🪖	capacete militar
🪗	acordeão
🪘	tambor comprido
🪙	moeda
🪚	serrote
🪛	chave de fenda
🪜	escada
🪝	gancho
🪞	espelho
🪟	janela
🪠	desentupidor
🪡	agulha de costura
🪢	nó
🪣	balde
🪤	ratoeira
🪥	escova de dentes
🪦	lápide
🪧	placa
🪨	pedra
🪩	globo de espelhos
🪪	cartão de identificação
🪫	pouca bateria
🪬	hamsá
🪭	leque dobrável
🪮	pente de cabelo
🪯	khanda
🪰	mosca
🪱	minhoca
🪲	besouro
🪳	barata
🪴	vaso com planta
🪵	madeira
🪶	pena
🪷	lótus
🪸	coral
🪹	ninho vazio
🪺	ninho com ovos
🪻	jacinto
🪼	água-viva
🪽	asa
🪾	árvore seca
🪿	ganso
🫀	coração humano
🫁	pulmões
🫂	pessoas se abraçando
🫃	homem grávido
🫄	pessoa grávida
🫅	pessoa com coroa
🫆	impressão digital
🫎	alce
🫏	burro
🫐	mirtilos
🫑	pimentão
🫒	azeitona
🫓	pão sírio
🫔	tamale
🫕	fondue
🫖	bule
🫗	derramando líquido
🫘	feijões
🫙	jarro
🫚	gengibre
🫛	vagem
🫜	tubérculo
🫟	respingo
🫠	rosto derretendo
🫡	rosto saudando
🫢	rosto com olhos abertos e mão sobre a boca
🫣	rosto com olho espiando
🫤	rosto com boca diagonal
🫥	rosto com linha pontilhada
🫦	mordendo o lábio
🫧	bolhas
🫨	rosto tremendo
🫩	rosto com olheiras
🫰	mão com dedo indicador e polegar cruzados
🫱	mão para a direita
🫲	mão para a esquerda
🫳	mão com a palma para baixo
🫴	mão com a palma para cima
🫵	indicador apontando para o visualizador
🫶	mãos de coração
🫷	mão empurrando para a esquerda
🫸	mão empurrando para a direita
⛓‍💥	corrente quebrada
❤‍🔥	coração em chamas
❤‍🩹	coração remendado
🍄‍🟫	cogumelo marrom
🍋‍🟩	lima
🏃‍♀‍➡	mulher correndo de frente para a direita
🏃‍♂‍➡	homem correndo de frente para a direita
🏃‍➡	pessoa correndo de frente para a direita
🏳‍⚧	bandeira transgênero
🐈‍⬛	gato preto
🐕‍🦺	cão de serviço
🐦‍⬛	pássaro preto
🐦‍🔥	fênix
🐻‍❄	urso polar
👨‍🍼	homem alimentando bebê
👨‍🦯	homem com bengala para cego
👨‍🦯‍➡	homem com bengala para cego de frente para a direita
👨‍🦰	homem cabelo vermelho
👨‍🦱	homem cabelo cacheado
👨‍🦲	homem careca
👨‍🦳	homem cabelo branco
👨‍🦼	homem em cadeira de rodas motorizada
👨‍🦼‍➡	homem em cadeira de rodas motorizada de frente para a direita
👨‍🦽	homem em cadeira de rodas manual
👨‍🦽‍➡	homem em cadeira de rodas manual de frente para a direita
👩‍❤‍💋‍👨	beijo entre uma mulher e um homem
👨‍❤‍💋‍👨	beijo entre dois homens
👩‍❤‍💋‍👩	beijo entre duas mulheres
👩‍❤‍👨	casal apaixonado formado por uma mulher e um homem
👨‍❤‍👨	casal apaixonado formado por dois homens
👩‍❤‍👩	casal apaixonado formado por duas mulheres
👨‍👩‍👦	família com um homem, uma mulher e um menino
👨‍👩‍👧	família com um homem, uma mulher e uma menina
👨‍👩‍👧‍👦	família com um homem, uma mulher, uma menina e um menino
👨‍👩‍👦‍👦	família com um homem, uma mulher e dois meninos
👨‍👩‍👧‍👧	família com um homem, uma mulher e duas meninas
👨‍👨‍👦	família com dois homens e um menino
👨‍👨‍👧	família com dois homens e uma menina
👨‍👨‍👧‍👦	família com dois homens, uma menina e um menino
👨‍👨‍👦‍👦	família com dois homens e dois meninos
👨‍👨‍👧‍👧	família com dois homens e duas meninas
👩‍🍼	mulher alimentando bebê
👩‍👩‍👦	família com duas mulheres e um menino
👩‍👩‍👧	família com duas mulheres e uma menina
👩‍👩‍👧‍👦	família com duas mulheres, uma menina e um menino
👩‍👩‍👦‍👦	família com duas mulheres e dois meninos
👩‍👩‍👧‍👧	família com duas mulheres e duas meninas
👨‍👦	família com um homem e um menino
👨‍👦‍👦	família com um homem e dois meninos
👨‍👧	família com um homem e uma menina
👨‍👧‍👦	família com um homem, uma menina e um menino
👨‍👧‍👧	família com um homem e duas meninas
👩‍👦	família com uma mulher e um menino
👩‍👦‍👦	família com uma mulher e dois meninos
👩‍👧	família com uma mulher e uma menina
👩‍👧‍👦	família com uma mulher, uma menina e um menino
👩‍👧‍👧	família com uma mulher e duas meninas
👨‍⚕	homem profissional da saúde
👩‍⚕	mulher profissional da saúde
👨‍⚖	juiz
👩‍⚖	juíza
👨‍✈	piloto de avião homem
👩‍✈	piloto de avião mulher
👨‍🌾	fazendeiro
👩‍🌾	fazendeira
👨‍🍳	cozinheiro
👩‍🍳	cozinheira
👨‍🎓	estudante
👩‍🎓	formanda
👨‍🎤	cantor
👩‍🎤	cantora
👨‍🎨	artista plástico
👩‍🎨	artista plástica
👨‍🏫	professor
👩‍🏫	professora
👨‍🏭	operário
👩‍🏭	operária
👨‍💻	tecnólogo
👩‍💻	tecnóloga
👨‍💼	funcionário de escritório
👩‍💼	funcionária de escritório
👨‍🔧	mecânico
👩‍🔧	mecânica
👨‍🔬	cientista homem
👩‍🔬	cientista mulher
👨‍🚀	astronauta homem
👩‍🚀	astronauta mulher
👨‍🚒	bombeiro
👩‍🚒	bombeira
👩‍🦯	mulher com bengala para cego
👩‍🦯‍➡	mulher com bengala para cego de frente para a direita
👩‍🦰	mulher cabelo vermelho
👩‍🦱	mulher cabelo cacheado
👩‍🦲	mulher careca
👩‍🦳	mulher cabelo branco
👩‍🦼	mulher em cadeira de rodas motorizada
👩‍🦼‍➡	mulher em cadeira de rodas motorizada de frente para a direita
👩‍🦽	mulher em cadeira de rodas manual
👩‍🦽‍➡	mulher em cadeira de rodas manual de frente para a direita
👮‍♀	policial mulher
👮‍♂	policial homem
👰‍♀	noiva com véu
👰‍♂	noivo com véu
👱‍♀	loira
👱‍♂	loiro
👳‍♀	mulher com turbante
👳‍♂	homem com turbante
👷‍♀	pedreira
👷‍♂	pedreiro
💂‍♀	guarda mulher
💂‍♂	guarda homem
🕵️‍♀	detetive mulher
🕵️‍♂	detetive homem
😮‍💨	rosto exalando
😵‍💫	rosto com olhos em espiral
😶‍🌫	rosto nas nuvens
🙂‍↔	cabeça virando de um lado para o outro
🙂‍↕	cabeça balançando na vertical
🚶‍♀‍➡	mulher andando de frente para a direita
🚶‍♂‍➡	homem andando de frente para a direita
🚶‍➡	pessoa andando de frente para a direita
🤵‍♀	mulher de smoking
🤵‍♂	homem de smoking
🦸‍♀	super-heroína
🦸‍♂	homem super-herói
🦹‍♀	supervilã
🦹‍♂	homem supervilão
🧍‍♀	mulher em pé
🧍‍♂	homem em pé
🧎‍♀	mulher ajoelhando
🧎‍♀‍➡	mulher ajoelhando de frente para a direita
🧎‍♂	homem ajoelhando
🧎‍♂‍➡	homem ajoelhando de frente para a direita
🧎‍➡	pessoa ajoelhando de frente para a direita
🧏‍♀	mulher surda
🧏‍♂	homem surdo
🧑‍⚕	profissional de saúde
🧑‍⚖	juiz no tribunal
🧑‍✈	piloto
🧑‍🌾	agricultor
🧑‍🍳	chef de cozinha
🧑‍🍼	pessoa alimentando bebê
🧑‍🎄	noel
🧑‍🎓	aluno
🧑‍🎤	cantor
🧑‍🎨	artista
🧑‍🏫	professora na escola
🧑‍🏭	funcionário de fábrica
🧑‍💻	programador
🧑‍💼	trabalhador de escritório
🧑‍🔧	mecânico trabalhando
🧑‍🔬	cientista
🧑‍🚀	astronauta
🧑‍🚒	bombeiro
🧑‍🤝‍🧑	pessoas de mãos dadas
🧑‍🦯	pessoa cega com bengala
🧑‍🦯‍➡	pessoa cega com bengala virada para a direita
🧑‍🦰	pessoa de cabelo ruivo
🧑‍🦱	pessoa de cabelo cacheado
🧑‍🦲	pessoa careca
🧑‍🦳	pessoa de cabelo branco
🧑‍🦼	pessoa em cadeira de rodas motorizada
🧑‍🦼‍➡	pessoa em cadeira de rodas motorizada de frente para a direita
🧑‍🦽	pessoa em cadeira de rodas manual
🧑‍🦽‍➡	pessoa em cadeira de rodas manual de frente para a direita
🧑‍🧑‍🧒	família com dois adultos e uma criança
🧑‍🧑‍🧒‍🧒	família com dois adultos e duas crianças
🧑‍🧒	família com um adulto e uma criança
🧑‍🧒‍🧒	família com um adulto e duas crianças
🧑‍🩰	bailarina
🧔‍♀	mulher barba
🧔‍♂	homem barbudo
🧙‍♀	maga
🧙‍♂	homem mago
🧚‍♀	mulher fada
🧚‍♂	homem fada
🧛‍♀	mulher vampira
🧛‍♂	homem vampiro
🧜‍♀	sereia
🧜‍♂	sereio
🧝‍♀	elfa
🧝‍♂	homem elfo
🧞‍♀	mulher gênio
🧞‍♂	homem gênio
🧟‍♀	mulher zumbi
🧟‍♂	homem zumbi
⛹‍♀	jogadora
⛹‍♂	jogador
🏃‍♀	mulher correndo
🏃‍♂	homem correndo
🏄‍♀	mulher surfista
🏄‍♂	homem surfista
🏊‍♀	nadadora
🏊‍♂	homem nadando
🏋️‍♀	mulher levantando peso
🏋️‍♂	homem levantando peso
🏌️‍♀	mulher golfista
🏌️‍♂	homem golfista
👯‍♀	mulheres fantasiadas
👯‍♂	homens fantasiados
💆‍♀	mulher recebendo massagem facial
💆‍♂	homem recebendo massagem facial
💇‍♀	mulher cortando o cabelo
💇‍♂	homem cortando o cabelo
