©	著作権
🤭	口に手を当てた顔
🤮	嘔吐する顔
🤯	頭爆発
🤰	妊婦
🤱	授乳
🤲	手のひらを揃えた両手
🤳	セルフィー
🤴	プリンス
🤵	花婿
🤶	女性のサンタ
🤷	お手上げする人
🤸	側転する人
🤹	ジャグリングをする人
🤺	フェンシングをする人
🤼	レスリングする人
🤽	水球をする人
🤾	ハンドボールをする人
🤿	ダイビング マスク
🥀	しおれた花
🥁	ドラム
🥂	グラスで乾杯
🥃	タンブラーグラス
🥄	スプーン
🥅	ゴールネット
🥇	金メダル
🥈	銀メダル
🥉	銅メダル
🥊	ボクシング
🥋	武道
🥌	カーリング
🥍	ラクロス
🥎	ソフトボール
🥏	フリスビー
🥐	クロワッサン
🥑	アボカド
🥒	キュウリ
🥓	ベーコン
🥔	ジャガイモ
🥕	人参
🥖	バゲット
🥗	グリーンサラダ
🥘	パエリア
🥙	ケバブサンド
🥚	卵
🥛	牛乳入りのコップ
🥜	ピーナッツ
🥝	キウイフルーツ
🥞	パンケーキ
🥟	点心
🥠	フォーチュンクッキー
🥡	テイクアウト弁当
🥢	はし
🥣	ボウルとスプーン
🥤	ストローカップ
🥥	ココナツ
🥦	ブロッコリー
🥧	パイ
🥨	プレッツェル
🥩	ステーキ肉
🥪	サンドイッチ
🥫	缶詰
🥬	葉野菜
🥭	マンゴー
🥮	月餅
🥯	ベーグル
🥰	ハートの笑顔
🥱	あくびした顔
🥲	嬉し涙の顔
🥳	パーティーの顔
🥴	ふらふらの顔
🥵	暑い顔
🥶	寒い顔
🥷	忍者
🥸	変装した顔
🥹	涙をこらえた顔
🥺	訴えるような顔
🥻	サリー
🥼	白衣
🥽	ゴーグル
🥾	ハイキングシューズ
🥿	フラットシューズ
🦀	カニ
🦁	ライオンの顔
🦂	サソリ
🦃	七面鳥
🦄	ユニコーンの顔
🦅	ワシ
🦆	カモ
🦇	コウモリ
🦈	サメ
🦉	フクロウ
🦊	キツネの顔
🦋	チョウ
🦌	シカ
🦍	ゴリラ
🦎	トカゲ
🦏	サイ
🦐	エビ
🦑	イカ
🦒	キリン
🦓	シマウマ
🦔	ハリネズミ
🦕	草食恐竜
🦖	ティラノサウルス
🦗	バッタ
🦘	カンガルー
🦙	ラマ
🦚	クジャク
🦛	カバ
🦜	オウム
🦝	アライグマ
🦞	ザリガニ
🦟	蚊
🦠	微生物
🦡	アナグマ
🦢	白鳥
🦣	マンモス
🦤	ドードー
🦥	ナマケモノ
🦦	カワウソ
🦧	オランウータン
🦨	スカンク
🦩	フラミンゴ
🦪	牡蠣
🦫	ビーバー
🦬	バイソン
🦭	アザラシ
🦮	盲導犬
🦯	白杖
🦰	赤毛
🦱	巻き毛
🦲	はげ頭
🦳	白髪
🦴	骨
🦵	脚
🦶	足
🦷	歯
🦸	スーパーヒーロー
🦹	悪役
🦺	安全ベスト
🦻	補聴器を付けた耳
🦼	電動車椅子
🦽	手動式車椅子
🦾	義手
🦿	義足
🧀	チーズ
🧁	カップケーキ
🧂	塩
🧃	紙パック飲料
🧄	ニンニク
🧅	タマネギ
🧆	ファラフェル
🧇	ワッフル
🧈	バター
🧉	マテ茶
🧊	角氷
🧋	タピオカドリンク
🧌	トロール
🧍	立つ人
🧎	正座する人
🧏	耳の不自由な人
🧐	モノクルを付けた顔
🧑	大人
🧒	子供
🧓	お年寄り
🧔	あごひげの男性
🧕	スカーフの女性
🧖	サウナに入る人
🧗	山を登る人
🧘	ヨガのポーズをする人
🧙	魔法使い
🧚	妖精
🧛	吸血鬼
🧜	人魚
🧝	エルフ
🧞	精霊
🧟	ゾンビ
🧠	脳
🧡	オレンジのハート
🧢	キャップ
🧣	マフラー
🧤	手袋
🧥	コート
🧦	ソックス
🧧	赤い封筒
🧨	爆竹
🧩	ジグソーパズル
🧪	試験管
🧫	ペトリ皿
🧬	DNA
🧭	コンパス
🧮	そろばん
🧯	消火器
🧰	工具箱
🧱	れんが
🧲	U字型磁石
🧳	スーツケース
🧴	ローション
🧵	糸
🧶	毛糸
🧷	安全ピン
🧸	テディベア
🧹	ほうき
🧺	かご
🧻	トイレットペーパー
🧼	石けん
🧽	スポンジ
🧾	レシート
🧿	ナザール ボンジュウ
🇦🇨	アセンション島の旗
🇦🇩	アンドラの旗
🇦🇪	アラブ首長国連邦の旗
🇦🇫	アフガニスタンの旗
🇦🇬	アンティグア・バーブーダの旗
🇦🇮	アンギラの旗
🇦🇱	アルバニアの旗
🇦🇲	アルメニアの旗
🇦🇴	アンゴラの旗
🇦🇶	南極の旗
🇦🇷	アルゼンチンの旗
🇦🇸	米領サモアの旗
🇦🇹	オーストリアの旗
🇦🇺	オーストラリアの旗
🇦🇼	アルバの旗
🇦🇽	オーランド諸島の旗
🇦🇿	アゼルバイジャンの旗
🇧🇦	ボスニア・ヘルツェゴビナの旗
🇧🇧	バルバドスの旗
🇧🇩	バングラデシュの旗
🇧🇪	ベルギーの旗
🇧🇫	ブルキナファソの旗
🇧🇬	ブルガリアの旗
🇧🇭	バーレーンの旗
🇧🇮	ブルンジの旗
🇧🇯	ベナンの旗
🇧🇱	サン・バルテルミーの旗
🇧🇲	バミューダの旗
🇧🇳	ブルネイの旗
🇧🇴	ボリビアの旗
🇧🇶	オランダ領カリブの旗
🇧🇷	ブラジルの旗
🇧🇸	バハマの旗
🇧🇹	ブータンの旗
🇧🇻	ブーベ島の旗
🇧🇼	ボツワナの旗
🇧🇾	ベラルーシの旗
🇧🇿	ベリーズの旗
🇨🇦	カナダの旗
🇨🇨	ココス(キーリング)諸島の旗
🇨🇩	コンゴ民主共和国(キンシャサ)の旗
🇨🇫	中央アフリカ共和国の旗
🇨🇬	コンゴ共和国(ブラザビル)の旗
🇨🇭	スイスの旗
🇨🇮	コートジボワールの旗
🇨🇰	クック諸島の旗
🇨🇱	チリの旗
🇨🇲	カメルーンの旗
🇨🇳	中国の旗
🇨🇴	コロンビアの旗
🇨🇵	クリッパートン島の旗
🇨🇷	コスタリカの旗
🇨🇺	キューバの旗
🇨🇻	カーボベルデの旗
🇨🇼	キュラソーの旗
🇨🇽	クリスマス島の旗
🇨🇾	キプロスの旗
🇨🇿	チェコの旗
🇩🇪	ドイツの旗
🇩🇬	ディエゴガルシア島の旗
🇩🇯	ジブチの旗
🇩🇰	デンマークの旗
🇩🇲	ドミニカ国の旗
🇩🇴	ドミニカ共和国の旗
🇩🇿	アルジェリアの旗
🇪🇦	セウタ・メリリャの旗
🇪🇨	エクアドルの旗
🇪🇪	エストニアの旗
🇪🇬	エジプトの旗
🇪🇭	西サハラの旗
🇪🇷	エリトリアの旗
🇪🇸	スペインの旗
🇪🇹	エチオピアの旗
🇪🇺	欧州連合の旗
🇫🇮	フィンランドの旗
🇫🇯	フィジーの旗
🇫🇰	フォークランド諸島の旗
🇫🇲	ミクロネシア連邦の旗
🇫🇴	フェロー諸島の旗
🇫🇷	フランスの旗
🇬🇦	ガボンの旗
🇬🇧	イギリスの旗
🇬🇩	グレナダの旗
🇬🇪	ジョージアの旗
🇬🇫	仏領ギアナの旗
🇬🇬	ガーンジーの旗
🇬🇭	ガーナの旗
🇬🇮	ジブラルタルの旗
🇬🇱	グリーンランドの旗
🇬🇲	ガンビアの旗
🇬🇳	ギニアの旗
🇬🇵	グアドループの旗
🇬🇶	赤道ギニアの旗
🇬🇷	ギリシャの旗
🇬🇸	サウスジョージア・サウスサンドウィッチ諸島の旗
🇬🇹	グアテマラの旗
🇬🇺	グアムの旗
🇬🇼	ギニアビサウの旗
🇬🇾	ガイアナの旗
🇭🇰	中華人民共和国香港特別行政区の旗
🇭🇲	ハード島・マクドナルド諸島の旗
🇭🇳	ホンジュラスの旗
🇭🇷	クロアチアの旗
🇭🇹	ハイチの旗
🇭🇺	ハンガリーの旗
🇮🇨	カナリア諸島の旗
🇮🇩	インドネシアの旗
🇮🇪	アイルランドの旗
🇮🇱	イスラエルの旗
🇮🇲	マン島の旗
🇮🇳	インドの旗
🇮🇴	英領インド洋地域の旗
🇮🇶	イラクの旗
🇮🇷	イランの旗
🇮🇸	アイスランドの旗
🇮🇹	イタリアの旗
🇯🇪	ジャージーの旗
🇯🇲	ジャマイカの旗
🇯🇴	ヨルダンの旗
🇯🇵	日本の旗
🇰🇪	ケニアの旗
🇰🇬	キルギスの旗
🇰🇭	カンボジアの旗
🇰🇮	キリバスの旗
🇰🇲	コモロの旗
🇰🇳	セントクリストファー・ネーヴィスの旗
🇰🇵	北朝鮮の旗
🇰🇷	韓国の旗
🇰🇼	クウェートの旗
🇰🇾	ケイマン諸島の旗
🇰🇿	カザフスタンの旗
🇱🇦	ラオスの旗
🇱🇧	レバノンの旗
🇱🇨	セントルシアの旗
🇱🇮	リヒテンシュタインの旗
🇱🇰	スリランカの旗
🇱🇷	リベリアの旗
🇱🇸	レソトの旗
🇱🇹	リトアニアの旗
🇱🇺	ルクセンブルクの旗
🇱🇻	ラトビアの旗
🇱🇾	リビアの旗
🇲🇦	モロッコの旗
🇲🇨	モナコの旗
🇲🇩	モルドバの旗
🇲🇪	モンテネグロの旗
🇲🇫	サン・マルタンの旗
🇲🇬	マダガスカルの旗
🇲🇭	マーシャル諸島の旗
🇲🇰	マケドニアの旗
🇲🇱	マリの旗
🇲🇲	ミャンマー (ビルマ)の旗
🇲🇳	モンゴルの旗
🇲🇴	中華人民共和国マカオ特別行政区の旗
🇲🇵	北マリアナ諸島の旗
🇲🇶	マルティニークの旗
🇲🇷	モーリタニアの旗
🇲🇸	モントセラトの旗
🇲🇹	マルタの旗
🇲🇺	モーリシャスの旗
🇲🇻	モルディブの旗
🇲🇼	マラウイの旗
🇲🇽	メキシコの旗
🇲🇾	マレーシアの旗
🇲🇿	モザンビークの旗
🇳🇦	ナミビアの旗
🇳🇨	ニューカレドニアの旗
🇳🇪	ニジェールの旗
🇳🇫	ノーフォーク島の旗
🇳🇬	ナイジェリアの旗
🇳🇮	ニカラグアの旗
🇳🇱	オランダの旗
🇳🇴	ノルウェーの旗
🇳🇵	ネパールの旗
🇳🇷	ナウルの旗
🇳🇺	ニウエの旗
🇳🇿	ニュージーランドの旗
🇴🇲	オマーンの旗
🇵🇦	パナマの旗
🇵🇪	ペルーの旗
🇵🇫	仏領ポリネシアの旗
🇵🇬	パプアニューギニアの旗
🇵🇭	フィリピンの旗
🇵🇰	パキスタンの旗
🇵🇱	ポーランドの旗
🇵🇲	サンピエール島・ミクロン島の旗
🇵🇳	ピトケアン諸島の旗
🇵🇷	プエルトリコの旗
🇵🇸	パレスチナ自治区の旗
🇵🇹	ポルトガルの旗
🇵🇼	パラオの旗
🇵🇾	パラグアイの旗
🇶🇦	カタールの旗
🇷🇪	レユニオンの旗
🇷🇴	ルーマニアの旗
🇷🇸	セルビアの旗
🇷🇺	ロシアの旗
🇷🇼	ルワンダの旗
🇸🇦	サウジアラビアの旗
🇸🇧	ソロモン諸島の旗
🇸🇨	セーシェルの旗
🇸🇩	スーダンの旗
🇸🇪	スウェーデンの旗
🇸🇬	シンガポールの旗
🇸🇭	セントヘレナの旗
🇸🇮	スロベニアの旗
🇸🇯	スバールバル諸島・ヤンマイエン島の旗
🇸🇰	スロバキアの旗
🇸🇱	シエラレオネの旗
🇸🇲	サンマリノの旗
🇸🇳	セネガルの旗
🇸🇴	ソマリアの旗
🇸🇷	スリナムの旗
🇸🇸	南スーダンの旗
🇸🇹	サントメ・プリンシペの旗
🇸🇻	エルサルバドルの旗
🇸🇽	シント・マールテンの旗
🇸🇾	シリアの旗
🇸🇿	スワジランドの旗
🇹🇦	トリスタン・ダ・クーニャの旗
🇹🇨	タークス・カイコス諸島の旗
🇹🇩	チャドの旗
🇹🇫	仏領極南諸島の旗
🇹🇬	トーゴの旗
🇹🇭	タイの旗
🇹🇯	タジキスタンの旗
🇹🇰	トケラウの旗
🇹🇱	東ティモールの旗
🇹🇲	トルクメニスタンの旗
🇹🇳	チュニジアの旗
🇹🇴	トンガの旗
🇹🇷	トルコの旗
🇹🇹	トリニダード・トバゴの旗
🇹🇻	ツバルの旗
🇹🇼	台湾の旗
🇹🇿	タンザニアの旗
🇺🇦	ウクライナの旗
🇺🇬	ウガンダの旗
🇺🇲	合衆国領有小離島の旗
🇺🇳	国際連合の旗
🇺🇸	アメリカ合衆国の旗
🇺🇾	ウルグアイの旗
🇺🇿	ウズベキスタンの旗
🇻🇦	バチカン市国の旗
🇻🇨	セントビンセント及びグレナディーン諸島の旗
🇻🇪	ベネズエラの旗
🇻🇬	英領ヴァージン諸島の旗
🇻🇮	米領ヴァージン諸島の旗
🇻🇳	ベトナムの旗
🇻🇺	バヌアツの旗
🇼🇫	ウォリス・フツナの旗
🇼🇸	サモアの旗
🇽🇰	コソボの旗
🇾🇪	イエメンの旗
🇾🇹	マヨットの旗
🇿🇦	南アフリカの旗
🇿🇲	ザンビアの旗
🇿🇼	ジンバブエの旗
🏴󠁧󠁢󠁥󠁮󠁧󠁿	イングランドの旗
🏴󠁧󠁢󠁳󠁣󠁴󠁿	スコットランドの旗
🏴󠁧󠁢󠁷󠁬󠁳󠁿	ウェールズの旗
#️⃣	ハッシュキー
*️⃣	アスタリスクキー
0️⃣	零のキー
1️⃣	一のキー
2️⃣	二のキー
3️⃣	三のキー
4️⃣	四のキー
5️⃣	五のキー
6️⃣	六のキー
7️⃣	七のキー
8️⃣	八のキー
9️⃣	九のキー
🩰	トウシューズ
🩱	ワンピースの水着
🩲	ブリーフ
🩳	ショーツ
🩴	ビーチサンダル
🩵	薄い青のハート
🩶	灰色のハート
🩷	ピンクのハート
🩸	血液
🩹	絆創膏
🩺	聴診器
🩻	X線
🩼	松葉杖
🪀	ヨーヨー
🪁	たこ
🪂	パラシュート
🪃	ブーメラン
🪄	魔法の杖
🪅	ピニャータ
🪆	マトリョーシカ
🪇	マラカス
🪈	笛
🪉	ハープ
🪏	シャベル
🪐	環のある惑星
🪑	椅子
🪒	剃刀
🪓	斧
🪔	ディヤランプ
🪕	バンジョー
🪖	軍用ヘルメット
🪗	アコーディオン
🪘	コンガ
🪙	コイン
🪚	のこぎり
🪛	ねじ回し
🪜	はしご
🪝	フック
🪞	鏡
🪟	窓
🪠	ラバーカップ
🪡	縫い針
🪢	結び目
🪣	バケツ
🪤	ねずみ捕り
🪥	歯ブラシ
🪦	墓石
🪧	プラカード
🪨	岩石
🪩	ミラーボール
🪪	身分証
🪫	バッテリー残量低下
🪬	ハムサ
🪭	扇子
🪮	アフロコーム
🪯	カンダ
🪰	ハエ
🪱	ミミズ
🪲	カブトムシ
🪳	ゴキブリ
🪴	鉢植え
🪵	丸太
🪶	羽
🪷	ハスの花
🪸	サンゴ
🪹	空っぽの巣
🪺	鳥の卵と巣
🪻	ヒヤシンス
🪼	クラゲ
🪽	翼
🪾	枯れ木
🪿	ガチョウ
🫀	心臓
🫁	肺
🫂	ハグする人
🫃	妊夫
🫄	妊娠した人
🫅	王冠をかぶった人
🫆	指紋
🫎	ヘラジカ
🫏	ロバ
🫐	ブルーベリー
🫑	ピーマン
🫒	オリーブ
🫓	フラットブレッド
🫔	タマル
🫕	フォンデュ
🫖	ティーポット
🫗	コップから注ぐ
🫘	豆
🫙	瓶
🫚	ショウガ
🫛	エンドウ豆
🫜	根菜
🫟	飛び散ったペンキ
🫠	溶けている顔
🫡	敬礼する顔
🫢	目を開けて口に手を当てた顔
🫣	指の間からのぞき見る顔
🫤	口が斜めの顔
🫥	点線の顔
🫦	唇を咬んでいる口
🫧	泡
🫨	震えている顔
🫩	目にクマがある顔
🫰	親指と人差し指をクロス
🫱	右に向けた手
🫲	左に向けた手
🫳	下に向けた手
🫴	上に向けた手
🫵	人を指差している手
🫶	ハート形の手
🫷	左向きに押している手
🫸	右向きに押している手
⛓‍💥	壊れた鎖
❤‍🔥	燃えるハート
❤‍🩹	包帯を巻いたハート
🍄‍🟫	きのこ
🍋‍🟩	ライム
🏃‍♀‍➡	走る女 右向き
🏃‍♂‍➡	走る男 右向き
🏃‍➡	走る人 右向き
🏳‍⚧	トランスジェンダーフラッグ
🐈‍⬛	黒猫
🐕‍🦺	介助犬
🐦‍⬛	黒い鳥
🐦‍🔥	フェニックス
🐻‍❄	シロクマ
👨‍🍼	授乳する男性
👨‍🦯	杖をついた男性
👨‍🦯‍➡	杖をついた男性 右向き
👨‍🦰	男性 赤毛
👨‍🦱	男性 巻き毛
👨‍🦲	男性 はげ頭
👨‍🦳	男性 白髪
👨‍🦼	電動車椅子の男性
👨‍🦼‍➡	電動車椅子の男性 右向き
👨‍🦽	手動式車椅子の男性
👨‍🦽‍➡	手動式車椅子の男性 右向き
👩‍❤‍💋‍👨	女性と男性のキス
👨‍❤‍💋‍👨	男性二人のキス
👩‍❤‍💋‍👩	女性二人のキス
👩‍❤‍👨	女性と男性のカップル
👨‍❤‍👨	男性二人のカップル
👩‍❤‍👩	女性二人のカップル
👨‍👩‍👦	男性と女性と男の子の家族
👨‍👩‍👧	男性と女性と女の子の家族
👨‍👩‍👧‍👦	男性と女性と女の子と男の子の家族
👨‍👩‍👦‍👦	男性と女性と男の子二人の家族
👨‍👩‍👧‍👧	男性と女性と女の子二人の家族
👨‍👨‍👦	男性二人と男の子の家族
👨‍👨‍👧	男性二人と女の子の家族
👨‍👨‍👧‍👦	男性二人と女の子と男の子の家族
👨‍👨‍👦‍👦	男性二人と男の子二人の家族
👨‍👨‍👧‍👧	男性二人と女の子二人の家族
👩‍🍼	授乳する女性
👩‍👩‍👦	女性二人と男の子の家族
👩‍👩‍👧	女性二人と女の子の家族
👩‍👩‍👧‍👦	女性二人と女の子と男の子の家族
👩‍👩‍👦‍👦	女性二人と男の子二人の家族
👩‍👩‍👧‍👧	女性二人と女の子二人の家族
👨‍👦	男性と男の子の家族
👨‍👦‍👦	男性と男の子二人の家族
👨‍👧	男性と女の子の家族
👨‍👧‍👦	男性と女の子と男の子の家族
👨‍👧‍👧	男性と女の子二人の家族
👩‍👦	女性と男の子の家族
👩‍👦‍👦	女性と男の子二人の家族
👩‍👧	女性と女の子の家族
👩‍👧‍👦	女性と女の子と男の子の家族
👩‍👧‍👧	女性と女の子二人の家族
👨‍⚕	男性の医者
👩‍⚕	女性の医者
👨‍⚖	男性の裁判官
👩‍⚖	女性の裁判官
👨‍✈	男性パイロット
👩‍✈	女性パイロット
👨‍🌾	農家の男性
👩‍🌾	農家の女性
👨‍🍳	男性のコック
👩‍🍳	女性のコック
👨‍🎓	男子学生
👩‍🎓	女子学生
👨‍🎤	男性歌手
👩‍🎤	女性歌手
👨‍🎨	男性の芸術家
👩‍🎨	女性の芸術家
👨‍🏫	男性の教師
👩‍🏫	女性の教師
👨‍🏭	男性の溶接工
👩‍🏭	女性の溶接工
👨‍💻	男性技術者
👩‍💻	女性技術者
👨‍💼	男性会社員
👩‍💼	女性会社員
👨‍🔧	男性の整備士
👩‍🔧	女性の整備士
👨‍🔬	男性科学者
👩‍🔬	女性科学者
👨‍🚀	男性宇宙飛行士
👩‍🚀	女性宇宙飛行士
👨‍🚒	男性消防士
👩‍🚒	女性消防士
👩‍🦯	杖をついた女性
👩‍🦯‍➡	杖をついた女性 右向き
👩‍🦰	女性 赤毛
👩‍🦱	女性 巻き毛
👩‍🦲	女性 はげ頭
👩‍🦳	女性 白髪
👩‍🦼	電動車椅子の女性
👩‍🦼‍➡	電動車椅子の女性 右向き
👩‍🦽	手動式車椅子の女性
👩‍🦽‍➡	手動式車椅子の女性 右向き
👮‍♀	女性警察官
👮‍♂	男性警察官
👰‍♀	ベールの女性
👰‍♂	ベールの男性
👱‍♀	金髪の女性
👱‍♂	金髪の男性
👳‍♀	ターバンの女性
👳‍♂	ターバンの男性
👷‍♀	女性の建設作業員
👷‍♂	男性の建設作業員
💂‍♀	女性の衛兵
💂‍♂	男性の衛兵
🕵️‍♀	女性の探偵
🕵️‍♂	男性の探偵
😮‍💨	息を吐く顔
😵‍💫	目を回した顔
😶‍🌫	雲の中の顔
🙂‍↔	首を横に振る
🙂‍↕	首を縦に振る
🚶‍♀‍➡	歩く女 右向き
🚶‍♂‍➡	歩く男 右向き
🚶‍➡	歩く人 右向き
🤵‍♀	タキシードの女性
🤵‍♂	タキシードの男性
🦸‍♀	女性のスーパーヒーロー
🦸‍♂	男性のスーパーヒーロー
🦹‍♀	女性の悪役
🦹‍♂	男性の悪役
🧍‍♀	立つ女
🧍‍♂	立つ男
🧎‍♀	正座する女性
🧎‍♀‍➡	正座する女性 右向き
🧎‍♂	正座する男性
🧎‍♂‍➡	正座する男性 右向き
🧎‍➡	正座する人 右向き
🧏‍♀	耳の不自由な女性
🧏‍♂	耳の不自由な男性
🧑‍⚕	医者
🧑‍⚖	裁判官
🧑‍✈	パイロット
🧑‍🌾	農家
🧑‍🍳	コック
🧑‍🍼	授乳する人
🧑‍🎄	サンタさん
🧑‍🎓	学生
🧑‍🎤	歌手
🧑‍🎨	芸術家
🧑‍🏫	教師
🧑‍🏭	溶接工
🧑‍💻	技術者
🧑‍💼	会社員
🧑‍🔧	整備士
🧑‍🔬	科学者
🧑‍🚀	宇宙飛行士
🧑‍🚒	消防士
🧑‍🤝‍🧑	手をつなぐ二人
🧑‍🦯	杖をついた人
🧑‍🦯‍➡	杖をついた人 右向き
🧑‍🦰	大人 赤毛
🧑‍🦱	大人 巻き毛
🧑‍🦲	大人 はげ頭
🧑‍🦳	大人 白髪
🧑‍🦼	電動車椅子の人
🧑‍🦼‍➡	電動車椅子の人 右向き
🧑‍🦽	手動式車椅子の人
🧑‍🦽‍➡	手動式車椅子の人 右向き
🧑‍🧑‍🧒	家族 大人二人と子供一人
🧑‍🧑‍🧒‍🧒	家族 大人二人と子供二人
🧑‍🧒	家族 大人一人と子供一人
🧑‍🧒‍🧒	家族 大人一人と子供二人
🧑‍🩰	バレエダンサー
🧔‍♀	あごひげの女性
🧔‍♂	あごひげの男性
🧙‍♀	女の魔法使い
🧙‍♂	男の魔法使い
🧚‍♀	女の妖精
🧚‍♂	男の妖精
🧛‍♀	女の吸血鬼
🧛‍♂	男の吸血鬼
🧜‍♀	マーメイド
🧜‍♂	マーマン
🧝‍♀	女のエルフ
🧝‍♂	男のエルフ
🧞‍♀	女の精霊
🧞‍♂	男の精霊
🧟‍♀	女のゾンビ
🧟‍♂	男のゾンビ
⛹‍♀	バスケットボールをする女
⛹‍♂	バスケットボールをする男
🏃‍♀	走る女
🏃‍♂	走る男
🏄‍♀	サーフィンする女
🏄‍♂	サーフィンする男
🏊‍♀	泳ぐ女
🏊‍♂	泳ぐ男
🏋️‍♀	重量挙げをする女
🏋️‍♂	重量挙げをする男
🏌️‍♀	ゴルフをする女
🏌️‍♂	ゴルフをする男
👯‍♀	バニーガール
👯‍♂	バニーボーイ
💆‍♀	フェイスマッサージ中の女
💆‍♂	フェイスマッサージ中の男
💇‍♀	散髪される女
💇‍♂	散髪される男
🚣‍♀	ボートをこぐ女
🚣‍♂	ボートをこぐ男
🚴‍♀	自転車に乗る女
🚴‍♂	自転車に乗る男
🚵‍♀	マウンテンバイクに乗る女
🚵‍♂	マウンテンバイクに乗る男
🚶‍♀	歩く女
🚶‍♂	歩く男
🤸‍♀	側転する女
🤸‍♂	側転する男
🤹‍♀	ジャグリングをする女
🤹‍♂	ジャグリングをする男
🤼‍♀	レスリングする女
🤼‍♂	レスリングする男
🤽‍♀	水球をする女
🤽‍♂	水球をする男
🤾‍♀	ハンドボールをする女
🤾‍♂	ハンドボールをする男
🧖‍♀	サウナに入る女
🧖‍♂	サウナに入る男
🧗‍♀	山を登る女
🧗‍♂	山を登る男
🧘‍♀	ヨガのポーズをする女
🧘‍♂	ヨガのポーズをする男
💁‍♀	案内する女
💁‍♂	案内する男
🙅‍♀	ダメのポーズをする女
🙅‍♂	ダメのポーズをする男
🙆‍♀	OKのポーズをする女
🙆‍♂	OKのポーズをする男
🙇‍♀	おじぎする女
🙇‍♂	おじぎする男
🙋‍♀	手を挙げる女
🙋‍♂	手を挙げる男
🙍‍♀	しかめ面の女
🙍‍♂	しかめ面の男
🙎‍♀	不機嫌な女
🙎‍♂	不機嫌な男
🤦‍♀	ひたいに手をあてる女
🤦‍♂	ひたいに手をあてる男
🤷‍♀	お手上げする女
🤷‍♂	お手上げする男
🏳‍🌈	レインボーフラッグ
🏴‍☠	海賊旗
👁‍🗨	吹き出しの目
