©	कॉपीराइट
🐓	मुर्गा
🐔	मुर्गी
🐕	कुत्ता
🐖	सुअर
🐗	जंगली सुअर
🐘	हाथी
🐙	ऑक्टोपस
🐚	गोल शंख
🐛	इल्ली
🐜	चींटी
🐝	मधुमक्खी
🐞	लेडीबग
🐟	मछली
🐠	ऊष्णकटिबंधीय मछली
🐡	गुब्बारा मछली
🐢	कछुआ
🐣	अंडे से बाहर आता चूजा
🐤	मुर्गी का बच्चा
🐥	आगे मुंह वाला चूजा
🐦	चिड़िया
🐧	पेंग्विन
🐨	कोआला
🐩	छोटा कुत्ता
🐪	ऊंट
🐫	दो कूबड़ वाला ऊंट
🐬	डॉल्फ़िन
🐭	मूषक का चेहरा
🐮	गाय का चेहरा
🐯	शेर का चेहरा
🐰	खरगोश का चेहरा
🐱	बिल्ली का चेहरा
🐲	दैत्य का चेहरा
🐳	फुहार छोड़ती व्हेल
🐴	घोड़े का चेहरा
🐵	बंदर का चेहरा
🐶	कुत्ते का चेहरा
🐷	सुअर का चेहरा
🐸	मेढ़क का चेहरा
🐹	चूहे का चेहरा
🐺	सियार का चेहरा
🐻	भालू का चेहरा
🐼	पांडा का चेहरा
🐽	सुअर की नाक
🐾	पंजे की छाप
🐿	चीपमक
👀	आँखें
👁	आँख
👂	कान
👃	नाक
👄	मुँह
👅	जीभ
👆	पीछे का हाथ और ऊपर इशारा करती तर्जनी
👇	पीछे का हाथ और नीचे इशारा करती तर्जनी
👈	बाईं ओर इशारा करती तर्जनी
👉	दाईं ओर इशारा करती तर्जनी
👊	भींची मुट्ठी
👋	हाथ हिलाना
👌	ठीक का हाथ चिह्न
👍	थंब्स अप
👎	थंब्स डाउन
👏	हाथ की ताली का चिह्न
👐	खुले हाथ
👑	मुकुट
👒	महिला की हैट
👓	चश्मा
👔	नेकटाई
👕	टी–शर्ट
👖	जींस
👗	पोषाक
👘	किमोनो
👙	बिकनी
👚	महिला के कपड़े
👛	पर्स
👜	हैंडबैग
👝	पाउच
👞	पुरुषों का जूता
👟	एथलेटिक जूता
👠	ऊँची एड़ी का सैंडिल
👡	महिलाओं का सैंडल
👢	महिलाओं का बूट
👣	पदचिह्न
👤	ऊपर के शरीर की छाया
👥	ऊपर के शरीर की छायाएं
👦	लड़का
👧	लड़की
👨	पुरुष
👩	महिला
👪	परिवार
👫	हाथ में हाथ लिए महिला–पुरुष
👬	हाथ पकड़े दो पुरुष
👭	हाथ पकड़े दो महिलाएँ
👮	पुलिस अधिकारी
👯	खरगोश के कान वाले लोग
👰	पर्दे वाली दुल्हन
👱	भूरे बालों वाला आदमी
👲	चाइनीज़ कैप वाला पुरुष
👳	पगड़ी वाला आदमी
👴	बूढ़ा पुरुष
👵	बूढ़ी महिला
👶	शिशु
👷	निर्माण मजदूर
👸	राजकुमारी
👹	जापानी राक्षस
👺	जापानी पिशाच
👻	भूत
👼	नन्ही परी
👽	परग्रह प्राणी
👾	परग्रह दैत्य
👿	शैतान चेहरा
💀	खोपड़ी
💁	सूचना केंद्र का व्यक्ति
💂	गार्ड
💃	नाचती हुई महिला
💄	लिपस्टिक
💅	नेल पॉलिश
💆	मालिश करवाता व्यक्ति
💇	बाल कटवाता हुआ व्यक्ति
💈	बार्बर पोल
💉	सिरींज, सूई
💊	गोली
💋	चुंबन का निशान
💌	प्रेमपत्र
💍	अंगूठी
💎	रत्न
💏	चुंबन
💐	फूल, फूलगुच्छ
💑	दिल वाली जोड़ी
💒	विवाह धर्मस्थल
💓	धड़कता दिल
💔	टूटा दिल
💕	दो दिल
💖	रोमांचित दिल
💗	बढ़ता हुआ दिल
💘	दिल और तीर
💙	नीला दिल
💚	हरा दिल
💛	पीला दिल
💜	बैंगनी दिल
💝	रिबन वाला दिल
💞	घूमते दिल
💟	दिल की सजावट
💠	बिंदू वाला हीरा
💡	लाइट बल्ब, विचार
💢	गुस्से का चिह्न
💣	बम
💤	उनींदा
💥	टक्कर
💦	पसीने की बूंदें
💧	ठंडा पसीना
💨	दौड़ना
💩	मल का ढेर
💪	बाइसेप्स
💫	तारे दिखना
💬	संवाद बुलबुला
💭	विचार बुलबुला
💮	फूल की छाप
💯	सौ अंक
💰	पैसों की थैली, डॉलर बैग
💱	मुद्रा विनिमय
💲	डॉलर का चिह्न
💳	क्रेडिट कार्ड
💴	येन नोट, बैंकनोट
💵	डॉलर नोट, बैंकनोट
💶	यूरो नोट, यूरो
💷	पाउंड नोट, बैंकनोट
💸	पंखों वाले पैसे
💹	येन के साथ ऊपर जाता चार्ट
💺	सीट, कुर्सी
💻	पर्सनल कंप्यूटर, लैपटॉप
💼	ब्रीफ़केस
💽	मिनी डिस्क
💾	फ़्लॉपी डिस्क
💿	ऑप्टिकल डिस्क
📀	डीवीडी
📁	फ़ाइल फ़ोल्डर
📂	खुला फ़ाइल फ़ोल्डर
📃	मुड़ा हुआ पृष्ठ
📄	ऊपरी पृष्ठ
📅	कैलेंडर
📆	फ़ाड़ने वाला कैलेंडर
📇	कार्ड इंडेक्स
📈	बढ़ते रुझान वाला चार्ट
📉	घटते रुझान वाला चार्ट
📊	बार ग्राफ़, बार चार्ट
📋	क्लिपबोर्ड
📌	पुशपिन, पिन
📍	गोल पुशपिन
📎	पेपरक्लिप, क्लिप
📏	सीधा रूलर, पैमाना
📐	तिकोना रूलर, त्रिकोण
📑	बुकमार्क टैब
📒	लेजर, नोटबुक
📓	नोटबुक
📔	सजावटी कवर वाली नोटबुक
📕	बंद किताब
📖	खुली किताब
📗	हरी किताब
📘	नीली किताब
📙	नारंगी किताब
📚	किताबें
📛	नाम बैज, बैज
📜	स्क्रॉल, पेपर स्क्रॉल
📝	मेमो, मेमो पुस्तक
📞	टेलीफ़ोन रिसीवर
📟	पेजर
📠	फ़ैक्स
📡	सैटेलाइट एंटेना
📢	लाउडस्पीकर
📣	मेगाफ़ोन
📤	आउटबॉक्स ट्रे
📥	इनबॉक्स, प्राप्त मेल, मेल, प्राप्त, बॉक्स, ट्रे, संचार
📦	पैकेज
📧	ईमेल
📨	इनकमिंग लिफ़ाफ़ा
📩	जावक मेल, प्रेषित मेल
📪	झुके झंडे वाला मेलबॉक्स
📫	लहराते झंडे वाला मेलबॉक्स
📬	लहराते झंडे वाला खुला मेलबॉक्स
📭	झुके झंडे वाला खुला मेलबॉक्स
📮	पोस्ट बॉक्स
📯	पोस्टल हॉर्न
📰	समाचारपत्र
📱	सेल फ़ोन, मोबाइल फ़ोन
📲	तीर के साथ सेल फ़ोन
📳	कंपन मोड, वाइब्रेशन मोड
📴	सेल फ़ोन बंद
📵	सेल फ़ोन निषिद्ध, कॉल न करें
📶	एंटेना संकेत
📷	कैमरे
📸	फ़्लैश वाला कैमरा, कैमरा
📹	वीडियो कैमरा, कैमरा
📺	टीवी, टेलीविज़न
📻	रेडियो
📼	वीडियो टेप
📽	फ़िल्म प्रोजेक्टर, सिनेमा
📿	प्रार्थना के मनक
🔀	काटते हुए दाएं तीर
🔁	घड़ी की दिशा में तीर
🔂	एक बार दोहराने वाला बटन
🔃	पुनः लोड करें, लंबवत दक्षिणावर्त तीर
🔄	घड़ी की विपरीत दिशा में तीर, वामावर्त
🔅	कम चमक, मंद चमक
🔆	अधिक चमक
🔇	म्यूट किया स्पीकर
🔈	स्पीकर, लाउडस्पीकर
🔉	स्पीकर मीडियम वॉल्यूम
🔊	अधिक आवाज़ में स्पीकर
🔋	बैटरी
🔌	बिजली का प्लग
🔍	बाईं ओर झुका आवर्धक कांच
🔎	दाईं ओर झुका आवर्धक कांच
🔏	स्याही वाले पेन के साथ ताला
🔐	चाबी के साथ बंद ताला
🔑	चाबी
🔒	ताला, बंद ताला
🔓	ताला, खुला ताला
🔔	घंटी
🔕	स्लैश के साथ घंटी
🔖	बुकमार्क
🔗	लिंक, कड़ी का चिह्न
🔘	रेडियो बटन
🔙	वापस, वापस तीर
🔚	समाप्ति तीर, बाएं तीर के साथ समाप्ति
🔛	चालू तीर, विस्मय चिह्न और तीर के साथ चालू
🔜	जल्दी चिह्न, दाएं तीर के साथ जल्दी
🔝	शीर्ष चिह्न, ऊपर तीर के साथ शीर्ष
🔞	अठारह वर्ष से कम आयु वालों के लिए निषिद्ध
🔟	दस की कुंजी
🔠	लैटिन अपरकेस डालें
🔡	लैटिन लोअरकेस डालें
🔢	संख्याएं, अंक डालें
🔣	प्रतीक, प्रतीक डालें
🔤	लैटिन वर्ण डालें
🔥	आग
🔦	फ़्लैशलाइट, टॉर्च
🔧	पाना, रैंच
🔨	हथौड़ा
🔩	नट और बोल्ट
🔪	खाना बनाने का चाकू
🔫	पिस्तौल
🔬	माइक्रोस्कोप
🔭	दूरबीन
🔮	क्रिस्टल बॉल, भविष्य देखना
🔯	छह मुखी तारा, भविष्य
🔰	हरी और पीली पत्ती, शुरुआतकर्ता के लिए जापानी चिह्न
🔱	त्रिशूल का चिह्न, एंकर
🔲	वर्ग बटन
🔳	सफेद वर्ग बटन
🔴	बड़ा लाल गोला
🔵	बड़ा नीला गोला
🔶	बड़ा नारंगी हीरा
🔷	बड़ा नीला हीरा
🔸	छोटा नारंगी हीरा
🔹	छोटा नीला हीरा
🔺	ऊपर दिखाता लाल त्रिभुज
🔻	नीचे दिखाता लाल त्रिभुज
🔼	ऊपर त्रिभुज बटन
🔽	नीचे त्रिभुज बटन
🕉	ॐ, हिंदू धर्म
🕊	कबूतर
🕋	काबा, मुस्लिम धर्म
🕌	मस्जिद, इस्लाम धर्म
🕍	यहूदी प्रार्थनागृह
🕎	दीपाधार, मोमबत्ती
🕐	एक बजे
🕑	दो बजे
🕒	तीन बजे
🕓	चार बजे
🕔	पाँच बजे
🕕	छह बजे
🕖	सात बजे
🕗	आठ बजे
🕘	नौ बजे
🕙	दस बजे
🕚	ग्यारह बजे
🕛	बारह बजे
🕜	डेढ़ बजे
🕝	ढाई बजे
🕞	साढ़े तीन बजे
🕟	साढ़े चार बजे
🕠	साढ़े पाँच बजे
🕡	साढ़े छह बजे
🕢	साढ़े सात बजे
🕣	साढ़े आठ बजे
🕤	साढ़े नौ बजे
🕥	साढ़े दस बजे
🕦	साढ़े ग्यारह बजे
🕧	साढ़े बारह बजे
🕯	मोमबत्ती
🕰	मेंटलपीस घड़ी
🕳	छिद्र
🕴	सूट वाला व्यक्ति
🕵	जासूस
🕶	धूप का चश्मा
🕷	मकड़ी
🕸	मकड़ी का जाला
🕹	जॉयस्टिक, गेम, वीडियो गेम
🕺	नाचता हुआ पुरुष
🖇	लिंक किए गए पेपरक्लिप
🖊	बॉलपेन
🖋	स्याही पेन, पेन
🖌	पेंटब्रश, पेंटिंग
🖍	क्रेयॉन
🖐	फैली हुई अँगुलियों वाला उठा हुआ हाथ
🖕	बीच की अँगुली
🖖	सेल्यूट का एक तरीका
🖤	काला दिल
🖥	डेस्कटॉप, कंप्यूटर
🖨	प्रिंटर
🖱	माउस
🖲	ट्रैकबॉल
🖼	फ़्रेम वाला चित्र
🗂	कार्ड विभाजक, अनुक्रम
🗃	कार्ड फ़ाइल बॉक्स
🗄	फ़ाइल कैबिनेट
🗑	कचरे की टोकरी, कचरा पेटी
🗒	स्पाइरल नोटपैड, नोट, पैड
🗓	स्पाइरल कैलेंडर, पैड
🗜	संपीड़न
🗝	पुरानी चाबी, पुराना
🗞	रोल किया हुआ समाचारपत्र
🗡	छुरी, कटार
🗣	बोलता चेहरा
🗨	बायाँ स्पीच बबल
🗯	दायाँ गुस्से वाला बबल
🗳	मतपत्र के साथ मतपेटी
🗺	विश्व मानचित्र, विश्व
🗻	माउंट फ़ूजी
🗼	टोक्यो टॉवर
🗽	स्टेच्यू ऑफ़ लिबर्टी
🗾	जापान का नक्शा
🗿	मोए
😀	दाँत दिखाता चेहरा
😁	मुस्काती आँखों के साथ खींसें निपोरना
😂	खुशी के आँसुओं वाला चेहरा
😃	बड़ी आँखों वाला दाँत दिखाता चेहरा
😄	मुस्कुराती आँखों वाला दाँत दिखाता चेहरा
😅	दाँत दिखाता पसीने वाला चेहरा
😆	बंद आँखों वाला दाँत दिखाता चेहरा
😇	प्रभामंडल वाली मुस्कान वाला चेहरा
😈	सींग वाली मुस्कान वाला चेहरा
😉	आँख मारता चेहरा
😊	मुस्काती आँखों वाला मुस्काता चेहरा
😋	स्वादिष्ट खाने का मज़ा लेता चेहरा
😌	चिंतामुक्त चेहरा
😍	दिल के आकार वाली आँखों वाला मुस्काता चेहरा
😎	धूप के चश्मे के साथ मुस्काता चेहरा
😏	बनावटी हँसी वाला चेहरा
😐	भावहीन चेहरा
😑	अभिव्यक्तिरहित चेहरा
😒	अप्रसन्न चेहरा
😓	ठंडे पसीने वाला उदास चेहरा
😔	निरुत्साहित चेहरा
😕	परेशान चेहरा
😖	हैरान चेहरा
😗	चुंबन वाला चेहरा
😘	चुंबन देता चेहरा
😙	मुस्काती आँखो के साथ चुंबन वाला चेहरा
😚	आँख बंद करके चूमता चेहरा
😛	बाहर लटकी हुई जीभ वाला चेहरा
😜	आँख मारते हुए और जीभ बाहर निकालता चेहरा
😝	बंद आँखों के साथ जीभ बाहर निकालता चेहरा
😞	निराश चेहरा
😟	चिंतित चेहरा
😠	गुस्सैल चेहरा
😡	खीझ में लाल चेहरा
😢	रोता चेहरा
😣	हठी चेहरा
😤	विजयी मुद्रा वाला चेहरा
😥	निराश लेकिन चिंतामुक्त चेहरा
😦	खुले मुँह वाला त्यौरी चढ़ाता चेहरा
😧	दुखी चेहरा
😨	डरा हुआ चेहरा
😩	घबराया चेहरा
😪	उनींदा चेहरा
😫	थका चेहरा
😬	मुंह बनाता चेहरा
😭	ज़ोर–ज़ोर से रोता चेहरा
😮	खुले मुँह वाला चेहरा
😯	आश्चर्यचकित चेहरा
😰	ठंडे पसीने वाला नीला चेहरा
😱	डर से चिल्लाता चेहरा
😲	पूरी तरह स्तंभित चेहरा
😳	विस्मित चेहरा
😴	सोया हुआ चेहरा
😵	चक्कर खाता चेहरा
😶	बिना मुँह का चेहरा
😷	चिकित्सा मास्क वाला चेहरा
😸	दाँत दिखाती और मुस्काती आँखों वाली बिल्ली का चेहरा
😹	खुशी के आँसू वाली बिल्ली का चेहरा
😺	मुस्काती आँखों वाली बिल्ली का चेहरा
😻	दिल जैसी आँखों वाली मुस्काती बिल्ली
😼	व्यंग्यपूर्ण मुस्कान वाली बिल्ली का चेहरा
😽	आँखें बंद करके चूमती बिल्ली का चेहरा
😾	खीझभरी बिल्ली का चेहरा
😿	रोती बिल्ली का चेहरा
🙀	आश्चर्यचकित बिल्ली का चेहरा
🙁	कम क्रोधित चेहरा
🙂	हल्की मुस्कान वाला चेहरा
🙃	उल्टा चेहरा
🙄	ऊपर देखती आँखों वाला चेहरा
🙅	नहीं कहता हुआ व्यक्ति
🙆	ठीक है कहता हुआ व्यक्ति
🙇	झुका हुआ व्यक्ति
🙈	बुरा मत देखो, गांधी जी का बन्दर
🙉	बुरा मत सुनो, गांधी जी का बन्दर
🙊	बुरा मत बोलो, गांधी जी का बन्दर
🙋	हाथ उठाता खुश व्यक्ति
🙌	खुश होकर दोनों हाथ उठाना
🙍	नाक–भौं चढ़ाया व्यक्ति
🙎	खीझा व्यक्ति
🙏	अभिवादन
🚀	रॉकेट, वाहन
🚁	हेलीकॉप्टर, वाहन
🚂	भाप इंजन, लोकोमोटिव
🚃	ट्रेन, बिजली वाली ट्रेन
🚄	तेज़ गति वाली ट्रेन, शिंकानसेन
🚅	बुलेट नोज़ के साथ शिंकानसेन, ट्रेन
🚆	ट्रेन
🚇	सबवे, मेट्रो
🚈	हल्की रेल
🚉	स्टेशन
🚊	ट्राम
🚋	ट्राम कार
🚌	बस
🚍	आती हुई बस
🚎	ट्रॉलीबस
🚏	बस स्टॉप
🚐	मिनीबस
🚑	एंबुलेंस
🚒	अग्निशामक, दमकल
🚓	पुलिस कार
🚔	आती हुई पुलिस कार
🚕	टैक्सी
🚖	आती हुई टैक्सी
🚗	ऑटोमोबाइल, कार
🚘	आती हुई कार
🚙	शौकिया वाहन
🚚	डिलीवरी ट्रक
🚛	लॉरी, आर्टिक्यूलेटेड लॉरी
🚜	ट्रैक्टर
🚝	मोनोरेल
🚞	माउंटेन रेलवे
🚟	सस्पेंशन रेलवे, रेलवे
🚠	माउंटेन केबलवे, पहाड़ी केबल कार
🚡	केबल कार, एरियल ट्रामवे
🚢	जहाज़, वाहन
🚣	चप्पू से नाव चलाता व्यक्ति
🚤	स्पीडबोट, नाव
🚥	ट्रैफ़िक लाइट, क्षैतिज यातायात संकेत
🚦	ट्रैफ़िक लाइट, उर्ध्वाधर यातायात संकेत
🚧	निर्माण चालू, निर्माण का संकेत
🚨	घूमने वाली लाइट, पुलिस लाइट
🚩	तिकोना झंडा
🚪	दरवाजा
🚫	प्रवेश निषेध का चिह्न, प्रवेश निषेध
🚬	धूम्रपान
🚭	धूम्रपान निषेध का चिह्न, धूम्रपान निषेध
🚮	लिटरबॉक्स चिह्न
🚯	गंदगी न करें, गंदगी नहीं
🚰	पीने का पानी
🚱	पानी पीने योग्य नहीं
🚲	बाइक, साइकिल
🚳	बाइक निषेध, साइकिल निषेध
🚴	साइकिल चलाता व्यक्ति
🚵	पहाड़ पर साइकिल चलाता व्यक्ति
🚶	पैदल चलता व्यक्ति
🚷	पदयात्री निषेध, पैदल चलने की अनुमति नहीं
🚸	बच्चे निकल रहे हैं
🚹	पुरुष कक्ष
🚺	महिला कक्ष
🚻	सुविधाघर
🚼	गाड़ी में शिशु है
🚽	शौचालय
🚾	वॉटर क्लोसेट
🚿	स्नान
🛀	नहाता हुआ व्यक्ति
🛁	बाथ टब
🛂	पासपोर्ट नियंत्रण
🛃	कस्टम
🛄	सामान वापसी
🛅	सामान सेवा
🛋	सोफ़ा और लैंप
🛌	बिस्तर में सोता व्यक्ति
🛍	शॉपिंग बैग
🛎	बेलहॉप घंटी, होटल
🛏	बिस्तर
🛐	आराधना स्थल, पूजा
🛑	रुकने का संकेत
🛒	शॉपिंग कार्ट
🛕	हिंदू मंदिर
🛖	झोपड़ी
🛗	एलिवेटर
🛜	वायरलेस
🛝	फिसल पट्टी
🛞	पहिया
🛟	पानी पर तैरने वाला टायर
🛠	हथौड़ा और पाना
🛡	ढाल
🛢	तेल की टंकी, तेल
🛣	हाइवे, मोटर का रास्ता
🛤	रेल की पटरी, ट्रेन
🛥	मोटर बोट
🛩	छोटा हवाई जहाज़
🛫	हवाई जहाज़, हवाई जहाज़ का जाना
🛬	हवाई जहाज़, हवाई जहाज़ का आना
🛰	उपग्रह, अंतरिक्ष
🛳	यात्री जहाज
🛴	किक स्कूटर
🛵	मोटर स्कूटर
🛶	डोंगी
🛷	बर्फ़गाड़ी
🛸	उड़न तश्तरी
🛹	स्केटबोर्ड
🛺	ऑटो रिक्शा
🛻	पिकअप ट्रक
🛼	पहिये वाला जूता
🟠	नारंगी रंग का वृत्त
🟡	पीला वृत्त
🟢	हरा वृत्त
🟣	बैंगनी वृत्त
🟤	भूरा वृत्त
🟥	लाल वर्ग
🟦	नीला वर्ग
🟧	नारंगी रंग का वर्ग
🟨	पीला वर्ग
🟩	हरा वर्ग
🟪	बैंगनी वर्ग
🟫	भूरा वर्ग
🟰	मोटा बराबर चिह्न
🤌	सिकोड़ी हुई अंगुलियाँ
🤍	सफ़ेद दिल
🤎	भूरा दिल
🤏	थोड़ा सा
🤐	ज़िपर-मुँह वाला चेहरा
🤑	धनयुक्त चेहरा
🤒	थर्मामीटर वाला चेहरा
🤓	मूर्खता के भाव वाला चेहरा
🤔	सोचता हुआ चेहरा
🤕	सिर पर पट्टी वाला चेहरा
🤖	रोबोट चेहरा
🤗	गले लगाता हुआ चेहरा
🤘	सींग का चिन्ह
🤙	कॉल करने का संकेत
🤚	उठे हुए हाथ के पीछे का भाग
🤛	बाईं ओर मुठ्ठी
🤜	दाईं ओर मुठ्ठी
🤝	हाथ मिलाना
🤞	क्रॉस बनाती अंगुलियाँ
🤟	किसी से प्यार जताने के हावभाव
🤠	काउबॉय हैट के साथ चेहरा
🤡	जोकर चेहरा
🤢	उल्टी करता चेहरा
🤣	हंसते हंसते लोट-पोट होना
🤤	लार टपकता चेहरा
🤥	झूठ बोलता चेहरा
🤦	माथे पर हाथ
🤧	छींकता चेहरा
🤨	तनी हुई भौहों वाला चेहरा
🤩	सितारा आँखें
🤪	अजीबोगरीब मज़ाकिया चेहरा
🤫	शांत रहने का इशारा करता हुआ चेहरा
🤬	मुँह पर निशान वाला चेहरा
🤭	मुँह पर हाथ रखे हुए चेहरा
🤮	उल्टी करता हुआ चेहरा
🤯	विस्फोट करता हुआ सर
🤰	गर्भवती महिला
🤱	स्तनपान
🤲	हथेलियों को एकसाथ ऊपर करना
🤳	सेल्फी
🤴	राजकुमार
🤵	सूट बूट में आदमी
🤶	मिसेज़ क्लाज
🤷	कंधा उचकाता व्यक्ति
🤸	कलाबाज़ी करता व्यक्ति
🤹	करतब दिखाता व्यक्ति
🤺	तलवारबाज़
🤼	पहलवान
🤽	वाटर पोलो खेलता व्यक्ति
🤾	हैंडबॉल खेलता व्यक्ति
🤿	ग़ोताख़ोरी वाला मास्क
🥀	मुरझाया हुआ फूल
🥁	ड्रम
🥂	टकराते हुए ग्लास
🥃	गिलास
🥄	चम्मच
🥅	गोल नेट
🥇	स्वर्ण पदक
🥈	रजत पदक
🥉	कांस्य पदक
🥊	मुक्केबाज़ी के दस्ताने
🥋	मार्शल आर्ट की वर्दी
🥌	कर्लिंग स्टोन
🥍	लाक्रोस
🥎	सॉफ़्टबॉल
🥏	फ़्लाइंग डिस्क
🥐	क्रोइसैन
🥑	अवोकाडो
🥒	खीरा
🥓	बेकन
🥔	आलू
🥕	गाजर
🥖	बीगट ब्रेड
🥗	हरा सलाद
🥘	हल्का तला खाना
🥙	भरा हुआ पराठा
🥚	अंडा
🥛	दूध का गिलास
🥜	मूंगफली
🥝	कीवी फल
🥞	पैनकेक
🥟	भरावनयुक्त मीठी या नमकीन पकौड़ियाँ
🥠	फॉर्चून कुकी
🥡	टेकआउट बॉक्स
🥢	चॉपस्टिक
🥣	चम्मच के साथ कटोरी
🥤	स्ट्रॉ के साथ कप
🥥	नारियल
🥦	ब्रोकली
🥧	पाई
🥨	प्रेटज़ेल
🥩	गोश्त का टुकड़ा
🥪	सैंडविच
🥫	डिब्बा बंद खाद्य सामग्री
🥬	हरी पत्तेदार
🥭	आम
🥮	मून केक
🥯	बैगल
🥰	प्यार में डूबा चेहरा
🥱	उबासी लेता चेहरा
🥲	आँसुओं वाला मुस्काता चेहरा
🥳	उत्सवी चेहरा
🥴	चकराया हुआ चेहरा
🥵	गर्मी से लाल चेहरा
🥶	ठंड से जमा हुआ चेहरा
🥷	निंजा
🥸	छिपाया हुआ चेहरा
🥹	आंसू रोकता चेहरा
🥺	करुण चेहरा
🥻	साड़ी
🥼	लैब कोट
🥽	गॉगल
🥾	हाइकिंग बूट
🥿	फ़्लैट जूती
🦀	केकड़ा
🦁	शेर जैसा चेहरा
🦂	बिच्छू, वृश्चिक राशि
🦃	टर्की
🦄	यूनिकॉर्न
🦅	बाज
🦆	बतख
🦇	चमगादड़
🦈	शार्क
🦉	उल्लू
🦊	लोमड़ी जैसा चेहरा
🦋	तितली
🦌	हिरण
🦍	गोरिल्ला
🦎	छिपकली
🦏	गैंडा
🦐	झींगा
🦑	स्क्वीड
🦒	जिराफ़
🦓	ज़ीब्रा
🦔	साही
🦕	सोरोपॉड
🦖	टी-रेक्स
🦗	टिड्डा, झींगुर
🦘	कंगारू
🦙	लामा
🦚	मोर
🦛	दरियाई घोड़ा
🦜	तोता
🦝	रकून
🦞	झींगा मछली
🦟	मच्छर
🦠	रोगाणु
🦡	बिज्जू
🦢	हंस
🦣	मैमथ
🦤	डोडो
🦥	आलस्य
🦦	ऊदबिलाव
🦧	वनमानुष
🦨	स्कंक
🦩	लाल हंस
🦪	सीप
🦫	बीवर
🦬	बायसन
🦭	सील
🦮	मर्गदर्शक कुत्ता
🦯	नेत्रहीन की छड़ी
🦰	लाल बाल
🦱	घुंघराले बाल
🦲	गंजा
🦳	सफ़ेद बाल
🦴	हड्डी
🦵	पैर
🦶	पाँव
🦷	दाँत
🦸	सुपरहीरो
🦹	सुपरविलेन
🦺	रक्षा जैकेट
🦻	श्रवण यंत्र लगा कान
🦼	मोटर व्हीलचेयर
🦽	हस्तचालित व्हीलचेयर
🦾	यांत्रिक हाथ
🦿	यांत्रिक पैर
🧀	पनीर का टुकड़ा
🧁	कपकेक
🧂	नमक
🧃	जूस का डब्बा
🧄	लहसुन
🧅	प्याज़
🧆	फ़लाफ़ेल
🧇	वफ़ल
🧈	मक्खन
🧉	मेट
🧊	आइस क्यूब
🧋	बुलबुला चाय
🧌	ट्रॉल
🧍	खड़ा हुआ व्यक्ति
🧎	घुटनों के बल बैठा व्यक्ति
🧏	बहरा व्यक्ति
🧐	एक आँख में चश्मा पहने चेहरा
🧑	वयस्क
🧒	बच्चा
🧓	वृद्ध वयस्क
🧔	दाढ़ी वाला आदमी
🧕	सर पर स्कार्फ़ पहनने वाली महिला
🧖	भाप से भरे कमरे में कोई व्यक्ति
🧗	चढ़ाई करता हुआ व्यक्ति
🧘	पद्मासन में बैठा व्यक्ति
🧙	जादूगर, करामाती
🧚	परी
🧛	वैम्पायर
🧜	मत्स्यमानव
🧝	जादुई प्राणी
🧞	जिन्न
🧟	ज़ॉम्बी
🧠	मस्तिष्क, दिमाग
🧡	नारंगी दिल
🧢	बिल कैप
🧣	स्कार्फ़
🧤	दस्ताने
🧥	कोट
🧦	मोज़े
🧧	लाल लिफ़ाफ़ा
🧨	पटाखे
🧩	जिग्सॉ
🧪	टेस्ट ट्यूब
🧫	पेट्री डिश
🧬	डीएनए
🧭	कंपस
🧮	अबैकस
🧯	अग्निशामक
🧰	टूलबॉक्स
🧱	ईंट
🧲	चुंबक
🧳	सामान
🧴	लोशन की बोतल
🧵	धागा
🧶	सूत
🧷	सेफ़्टी पिन
🧸	टेडी बेअर
🧹	झाड़ू
🧺	बास्केट
🧻	पेपर का रोल
🧼	साबुन
🧽	स्पंज
🧾	रसीद
🧿	नज़र तावीज़
🇦🇨	असेंशन द्वीप का झंडा
🇦🇩	एंडोरा का झंडा
🇦🇪	संयुक्त अरब अमीरात का झंडा
🇦🇫	अफ़गानिस्तान का झंडा
🇦🇬	एंटिगुआ और बरबुडा का झंडा
🇦🇮	एंग्विला का झंडा
🇦🇱	अल्बानिया का झंडा
🇦🇲	आर्मेनिया का झंडा
🇦🇴	अंगोला का झंडा
🇦🇶	अंटार्कटिका का झंडा
🇦🇷	अर्जेंटीना का झंडा
🇦🇸	अमेरिकी समोआ का झंडा
🇦🇹	ऑस्ट्रिया का झंडा
🇦🇺	ऑस्ट्रेलिया का झंडा
🇦🇼	अरूबा का झंडा
🇦🇽	एलैंड द्वीपसमूह का झंडा
🇦🇿	अज़रबैजान का झंडा
🇧🇦	बोस्निया और हर्ज़ेगोविना का झंडा
🇧🇧	बारबाडोस का झंडा
🇧🇩	बांग्लादेश का झंडा
🇧🇪	बेल्जियम का झंडा
🇧🇫	बुर्किना फ़ासो का झंडा
🇧🇬	बुल्गारिया का झंडा
🇧🇭	बहरीन का झंडा
🇧🇮	बुरुंडी का झंडा
🇧🇯	बेनिन का झंडा
🇧🇱	सेंट बार्थेलेमी का झंडा
🇧🇲	बरमूडा का झंडा
🇧🇳	ब्रूनेई का झंडा
🇧🇴	बोलीविया का झंडा
🇧🇶	कैरिबियन नीदरलैंड का झंडा
🇧🇷	ब्राज़ील का झंडा
🇧🇸	बहामास का झंडा
🇧🇹	भूटान का झंडा
🇧🇻	बोवेत द्वीप का झंडा
🇧🇼	बोत्स्वाना का झंडा
🇧🇾	बेलारूस का झंडा
🇧🇿	बेलीज़ का झंडा
🇨🇦	कनाडा का झंडा
