©	저작권
😭	엉엉 우는 얼굴
😮	입벌린 얼굴
😯	숨죽인 얼굴
😰	땀 흘리며 불안해하는 얼굴
😱	공포에 절규하는 얼굴
😲	깜짝 놀란 얼굴
😳	상기된 얼굴
😴	졸고 있는 얼굴
😵	어지러운 얼굴
😶	입이 없는 얼굴
😷	마스크 낀 얼굴
😸	미소 짓는 눈으로 활짝 웃는 고양이 얼굴
😹	기쁨의 눈물을 흘리는 고양이 얼굴
😺	활짝 웃는 고양이 얼굴
😻	하트 눈 고양이 얼굴
😼	썩소 짓는 고양이
😽	키스하는 고양이 얼굴
😾	뾰로통한 고양이 얼굴
😿	울고 있는 고양이 얼굴
🙀	절규하는 고양이 얼굴
🙁	살짝 찡그린 얼굴
🙂	살짝 미소 짓는 얼굴
🙃	거꾸로 된 얼굴
🙄	눈을 굴리고 있는 얼굴
🙅	안된다는 제스처를 하는 사람
🙆	오케이라는 제스처를 하는 사람
🙇	절하는 사람
🙈	눈을 가리고 있는 원숭이
🙉	귀를 막고 있는 원숭이
🙊	입을 막고 있는 원숭이
🙋	한 손 든 사람
🙌	만세
🙍	찌푸린 사람
🙎	뾰로통한 사람
🙏	기도
🚀	로켓
🚁	헬리콥터
🚂	기관차
🚃	전철
🚄	고속열차
🚅	고속철
🚆	기차
🚇	지하철
🚈	경전철
🚉	기차역
🚊	트램
🚋	트램 차량
🚌	버스
🚍	오고 있는 버스
🚎	트롤리 버스
🚏	버스 정류장
🚐	미니버스
🚑	구급차
🚒	소방차
🚓	경찰차
🚔	오고 있는 경찰차
🚕	택시
🚖	오고 있는 택시
🚗	자동차
🚘	오고 있는 자동차
🚙	지프
🚚	운송 트럭
🚛	트레일러 트럭
🚜	트랙터
🚝	모노레일
🚞	기차 터널
🚟	매달린 케이블카
🚠	케이블카
🚡	산악 케이블카
🚢	선박
🚣	노젓는 사람
🚤	쾌속정
🚥	가로 신호등
🚦	세로 신호등
🚧	공사 중
🚨	사이렌
🚩	세모 깃발
🚪	문
🚫	금지
🚬	흡연 구역 신호
🚭	금연 신호
🚮	쓰레기는 쓰레기통에
🚯	쓰레기 투기 금지
🚰	음수대
🚱	마실 수 없는 물
🚲	자전거
🚳	자전거 금지
🚴	자전거 타는 사람
🚵	산악 자전거 타는 사람
🚶	보행자
🚷	보행자 금지
🚸	어린이 보호 구역
🚹	남자 화장실
🚺	여자 화장실
🚻	화장실
🚼	수유실
🚽	변기
🚾	더블유씨
🚿	샤워
🛀	목욕하는 사람
🛁	욕조
🛂	출입국 심사
🛃	세관
🛄	짐 찾는 곳
🛅	화물 서비스
🛋	소파와 전등
🛌	침대에 누운 사람
🛍	쇼핑백
🛎	호출 벨
🛏	침대
🛐	예배공간
🛑	멈춤 표시
🛒	쇼핑카트
🛕	힌두교 사원
🛖	오두막
🛗	엘리베이터
🛜	무선
🛝	미끄럼틀
🛞	휠
🛟	구명부환
🛠	망치와 렌치
🛡	방패
🛢	기름통
🛣	고속도로
🛤	철도 선로
🛥	모터보트
🛩	소형비행기
🛫	비행기 이륙
🛬	비행기 착륙
🛰	인공위성
🛳	여객선
🛴	킥보드
🛵	스쿠터
🛶	카누
🛷	썰매
🛸	비행접시
🛹	스케이트보드
🛺	경삼륜차
🛻	픽업트럭
🛼	롤러스케이트
🟠	오렌지색 원
🟡	노란색 원
🟢	녹색 원
🟣	보라색 원
🟤	갈색 원
🟥	빨간색 사각형
🟦	파란색 사각형
🟧	오렌지색 사각형
🟨	노란색 사각형
🟩	녹색 사각형
🟪	보라색 사각형
🟫	갈색 사각형
🟰	등호 기호
🤌	꼬집는 손가락
🤍	흰색 하트
🤎	갈색 하트
🤏	꼬집는 손
🤐	지퍼로 입을 잠근 얼굴
🤑	돈 모양의 입이 있는 얼굴
🤒	체온계를 물고 있는 얼굴
🤓	모범생 얼굴
🤔	생각하는 얼굴
🤕	머리에 붕대를 감은 얼굴
🤖	로봇 얼굴
🤗	포옹하고 있는 얼굴
🤘	뿔 모양 손짓
🤙	전화를 걸라는 손 모양
🤚	손등
🤛	왼쪽을 향하는 주먹
🤜	오른쪽을 향하는 주먹
🤝	악수
🤞	검지와 중지 크로스
🤟	사랑을 표시하는 손
🤠	카우보이 모자 쓴 얼굴
🤡	어릿광대 얼굴
🤢	구역질을 하는 얼굴
🤣	바닥을 구르며 웃는 얼굴
🤤	침 흘리는 얼굴
🤥	거짓말하는 얼굴
🤦	골치 아파하는 사람
🤧	재채기하는 얼굴
🤨	눈썹을 치켜올린 얼굴
🤩	반한 얼굴
🤪	괴짜 얼굴
🤫	쉿 하는 얼굴
🤬	욕하는 얼굴
🤭	손으로 입을 가린 얼굴
🤮	토하는 얼굴
🤯	폭발하는 얼굴
🤰	임산부
🤱	모유 수유
🤲	내민 두 손
🤳	셀카
🤴	왕자
🤵	턱시도를 입은 남성
🤶	산타할머니
🤷	어깨를 으쓱하는 사람
🤸	옆돌기하는 사람
🤹	저글링하는 사람
🤺	펜싱하는 사람
🤼	레슬링하는 사람
🤽	수구하는 사람
🤾	핸드볼하는 사람
🤿	다이빙 마스크
🥀	시든 꽃
🥁	드럼
🥂	건배하는 샴페인 잔
🥃	양주잔
🥄	수저
🥅	골대
🥇	금메달
🥈	은메달
🥉	동메달
🥊	권투 글러브
🥋	도복
🥌	컬링 스톤
🥍	라크로스
🥎	소프트볼
🥏	원반
🥐	크루아상
🥑	아보카도
🥒	오이
🥓	베이컨
🥔	감자
🥕	당근
🥖	바게트
🥗	야채샐러드
🥘	납작한 냄비
🥙	밀전병에 싼 요리
🥚	달걀
🥛	우유 한잔
🥜	땅콩
🥝	키위
🥞	팬케이크
🥟	만두
🥠	포츈 쿠키
🥡	테이크아웃 상자
🥢	젓가락
🥣	스푼과 사발
🥤	빨대와 컵
🥥	코코넛
🥦	브로콜리
🥧	파이
🥨	프레첼
🥩	고깃덩이
🥪	샌드위치
🥫	통조림
🥬	녹색 채소
🥭	망고
🥮	월병
🥯	베이글
🥰	하트가 둘러싼 웃는 얼굴
🥱	하품하는 얼굴
🥲	눈물 흘리며 웃는 얼굴
🥳	파티하는 얼굴
🥴	헤롱헤롱 얼굴
🥵	더운 얼굴
🥶	추워하는 얼굴
🥷	닌자
🥸	변장한 얼굴
🥹	눈물을 참는 얼굴
🥺	애원하는 얼굴
🥻	사리
🥼	실험실 가운
🥽	고글
🥾	등산화
🥿	플랫 슈즈
🦀	꽃게
🦁	사자 얼굴
🦂	전갈
🦃	칠면조
🦄	유니콘 얼굴
🦅	독수리
🦆	오리
🦇	박쥐
🦈	상어
🦉	부엉이
🦊	여우
🦋	나비
🦌	사슴
🦍	고릴라
🦎	도마뱀
🦏	코뿔소
🦐	새우
🦑	오징어
🦒	기린
🦓	얼룩말
🦔	고슴도치
🦕	초식 공룡
🦖	티라노사우루스
🦗	귀뚜라미
🦘	캥거루
🦙	라마
🦚	공작
🦛	하마
🦜	앵무새
🦝	너구리
🦞	바닷가재
🦟	모기
🦠	미생물
🦡	오소리
🦢	백조
🦣	매머드
🦤	도도새
🦥	나무늘보
🦦	수달
🦧	오랑우탄
🦨	스컹크
🦩	홍학
🦪	굴
🦫	비버
🦬	들소
🦭	물개
🦮	안내견
🦯	시각장애인 지팡이
🦰	빨간 머리
🦱	곱슬머리
🦲	대머리
🦳	백발
🦴	뼈다귀
🦵	한쪽 다리
🦶	한쪽 발
🦷	이빨
🦸	히로인
🦹	슈퍼 악당
🦺	구명조끼
🦻	보청기를 낀 귀
🦼	전동 휠체어
🦽	수동 휠체어
🦾	기계 팔
🦿	인공 다리
🧀	치즈 조각
🧁	컵케이크
🧂	소금
🧃	음료 팩
🧄	마늘
🧅	양파
🧆	팔라펠
🧇	와플
🧈	버터
🧉	마테차
🧊	얼음
🧋	버블티
🧌	트롤
🧍	서 있는 사람
🧎	무릎을 꿇은 사람
🧏	청각 장애가 있는 사람
🧐	단안경을 쓴 얼굴
🧑	사람
🧒	어린이
🧓	노인
🧔	수염 난 사람
🧕	머리에 스카프를 두른 여자
🧖	사우나 하는 사람
🧗	클라이밍하는 사람
🧘	가부좌한 사람
🧙	마법사
🧚	요정
🧛	뱀파이어
🧜	인어
🧝	엘프
🧞	지니
🧟	좀비
🧠	뇌
🧡	주황색 하트
🧢	야구모자
🧣	스카프
🧤	장갑
🧥	코트
🧦	양말
🧧	세뱃돈
🧨	폭죽
🧩	퍼즐
🧪	시험관
🧫	페트리 접시
🧬	디엔에이
🧭	나침반
🧮	주판
🧯	소화기
🧰	공구통
🧱	벽돌
🧲	자석
🧳	여행용 가방
🧴	로션
🧵	실타래
🧶	실뭉치
🧷	옷핀
🧸	테디 베어
🧹	빗자루
🧺	바구니
🧻	두루마리
🧼	비누
🧽	스펀지
🧾	영수증
🧿	악마의 눈
🇦🇨	어센션 섬의 깃발
🇦🇩	안도라의 깃발
🇦🇪	아랍에미리트의 깃발
🇦🇫	아프가니스탄의 깃발
🇦🇬	앤티가 바부다의 깃발
🇦🇮	앵귈라의 깃발
🇦🇱	알바니아의 깃발
🇦🇲	아르메니아의 깃발
🇦🇴	앙골라의 깃발
🇦🇶	남극 대륙의 깃발
🇦🇷	아르헨티나의 깃발
🇦🇸	아메리칸 사모아의 깃발
🇦🇹	오스트리아의 깃발
🇦🇺	오스트레일리아의 깃발
🇦🇼	아루바의 깃발
🇦🇽	올란드 제도의 깃발
🇦🇿	아제르바이잔의 깃발
🇧🇦	보스니아 헤르체고비나의 깃발
🇧🇧	바베이도스의 깃발
🇧🇩	방글라데시의 깃발
🇧🇪	벨기에의 깃발
🇧🇫	부르키나파소의 깃발
🇧🇬	불가리아의 깃발
🇧🇭	바레인의 깃발
🇧🇮	부룬디의 깃발
🇧🇯	베냉의 깃발
🇧🇱	생바르텔레미의 깃발
🇧🇲	버뮤다의 깃발
🇧🇳	브루나이의 깃발
🇧🇴	볼리비아의 깃발
🇧🇶	네덜란드령 카리브의 깃발
🇧🇷	브라질의 깃발
🇧🇸	바하마의 깃발
🇧🇹	부탄의 깃발
🇧🇻	부베섬의 깃발
🇧🇼	보츠와나의 깃발
🇧🇾	벨라루스의 깃발
🇧🇿	벨리즈의 깃발
🇨🇦	캐나다의 깃발
🇨🇨	코코스 제도의 깃발
🇨🇩	콩고-킨샤사의 깃발
🇨🇫	중앙 아프리카 공화국의 깃발
🇨🇬	콩고-브라자빌의 깃발
🇨🇭	스위스의 깃발
🇨🇮	코트디부아르의 깃발
🇨🇰	쿡 제도의 깃발
🇨🇱	칠레의 깃발
🇨🇲	카메룬의 깃발
🇨🇳	중국의 깃발
🇨🇴	콜롬비아의 깃발
🇨🇵	클립퍼튼 섬의 깃발
🇨🇷	코스타리카의 깃발
🇨🇺	쿠바의 깃발
🇨🇻	카보베르데의 깃발
🇨🇼	퀴라소의 깃발
🇨🇽	크리스마스섬의 깃발
🇨🇾	키프로스의 깃발
🇨🇿	체코의 깃발
🇩🇪	독일의 깃발
🇩🇬	디에고 가르시아의 깃발
🇩🇯	지부티의 깃발
🇩🇰	덴마크의 깃발
🇩🇲	도미니카의 깃발
🇩🇴	도미니카 공화국의 깃발
🇩🇿	알제리의 깃발
🇪🇦	세우타 및 멜리야의 깃발
🇪🇨	에콰도르의 깃발
🇪🇪	에스토니아의 깃발
🇪🇬	이집트의 깃발
🇪🇭	서사하라의 깃발
🇪🇷	에리트리아의 깃발
🇪🇸	스페인의 깃발
🇪🇹	에티오피아의 깃발
🇪🇺	유럽 연합의 깃발
🇫🇮	핀란드의 깃발
🇫🇯	피지의 깃발
🇫🇰	포클랜드 제도의 깃발
🇫🇲	미크로네시아의 깃발
🇫🇴	페로 제도의 깃발
🇫🇷	프랑스의 깃발
🇬🇦	가봉의 깃발
🇬🇧	영국의 깃발
🇬🇩	그레나다의 깃발
🇬🇪	조지아의 깃발
🇬🇫	프랑스령 기아나의 깃발
🇬🇬	건지의 깃발
🇬🇭	가나의 깃발
🇬🇮	지브롤터의 깃발
🇬🇱	그린란드의 깃발
🇬🇲	감비아의 깃발
🇬🇳	기니의 깃발
🇬🇵	과들루프의 깃발
🇬🇶	적도 기니의 깃발
🇬🇷	그리스의 깃발
🇬🇸	사우스조지아 사우스샌드위치 제도의 깃발
🇬🇹	과테말라의 깃발
🇬🇺	괌의 깃발
🇬🇼	기니비사우의 깃발
🇬🇾	가이아나의 깃발
🇭🇰	홍콩(중국 특별행정구)의 깃발
🇭🇲	허드 맥도널드 제도의 깃발
🇭🇳	온두라스의 깃발
🇭🇷	크로아티아의 깃발
🇭🇹	아이티의 깃발
🇭🇺	헝가리의 깃발
🇮🇨	카나리아 제도의 깃발
🇮🇩	인도네시아의 깃발
🇮🇪	아일랜드의 깃발
🇮🇱	이스라엘의 깃발
🇮🇲	맨 섬의 깃발
🇮🇳	인도의 깃발
🇮🇴	영국령 인도양 식민지의 깃발
🇮🇶	이라크의 깃발
🇮🇷	이란의 깃발
🇮🇸	아이슬란드의 깃발
🇮🇹	이탈리아의 깃발
🇯🇪	저지의 깃발
🇯🇲	자메이카의 깃발
🇯🇴	요르단의 깃발
🇯🇵	일본의 깃발
🇰🇪	케냐의 깃발
🇰🇬	키르기스스탄의 깃발
🇰🇭	캄보디아의 깃발
🇰🇮	키리바시의 깃발
🇰🇲	코모로의 깃발
🇰🇳	세인트키츠 네비스의 깃발
🇰🇵	북한의 깃발
🇰🇷	대한민국의 깃발
🇰🇼	쿠웨이트의 깃발
🇰🇾	케이맨 제도의 깃발
🇰🇿	카자흐스탄의 깃발
🇱🇦	라오스의 깃발
🇱🇧	레바논의 깃발
🇱🇨	세인트루시아의 깃발
🇱🇮	리히텐슈타인의 깃발
🇱🇰	스리랑카의 깃발
🇱🇷	라이베리아의 깃발
🇱🇸	레소토의 깃발
🇱🇹	리투아니아의 깃발
🇱🇺	룩셈부르크의 깃발
🇱🇻	라트비아의 깃발
🇱🇾	리비아의 깃발
🇲🇦	모로코의 깃발
🇲🇨	모나코의 깃발
🇲🇩	몰도바의 깃발
🇲🇪	몬테네그로의 깃발
🇲🇫	생마르탱의 깃발
🇲🇬	마다가스카르의 깃발
🇲🇭	마셜 제도의 깃발
🇲🇰	마케도니아의 깃발
🇲🇱	말리의 깃발
🇲🇲	미얀마의 깃발
🇲🇳	몽골의 깃발
🇲🇴	마카오(중국 특별행정구)의 깃발
🇲🇵	북마리아나제도의 깃발
🇲🇶	마르티니크의 깃발
🇲🇷	모리타니의 깃발
🇲🇸	몬트세라트의 깃발
🇲🇹	몰타의 깃발
🇲🇺	모리셔스의 깃발
🇲🇻	몰디브의 깃발
🇲🇼	말라위의 깃발
🇲🇽	멕시코의 깃발
🇲🇾	말레이시아의 깃발
🇲🇿	모잠비크의 깃발
🇳🇦	나미비아의 깃발
🇳🇨	뉴칼레도니아의 깃발
🇳🇪	니제르의 깃발
🇳🇫	노퍽섬의 깃발
🇳🇬	나이지리아의 깃발
🇳🇮	니카라과의 깃발
🇳🇱	네덜란드의 깃발
🇳🇴	노르웨이의 깃발
🇳🇵	네팔의 깃발
🇳🇷	나우루의 깃발
🇳🇺	니우에의 깃발
🇳🇿	뉴질랜드의 깃발
🇴🇲	오만의 깃발
🇵🇦	파나마의 깃발
🇵🇪	페루의 깃발
🇵🇫	프랑스령 폴리네시아의 깃발
🇵🇬	파푸아뉴기니의 깃발
🇵🇭	필리핀의 깃발
🇵🇰	파키스탄의 깃발
🇵🇱	폴란드의 깃발
🇵🇲	생피에르 미클롱의 깃발
🇵🇳	핏케언 섬의 깃발
🇵🇷	푸에르토리코의 깃발
🇵🇸	팔레스타인 지구의 깃발
🇵🇹	포르투갈의 깃발
🇵🇼	팔라우의 깃발
🇵🇾	파라과이의 깃발
🇶🇦	카타르의 깃발
🇷🇪	리유니온의 깃발
🇷🇴	루마니아의 깃발
🇷🇸	세르비아의 깃발
🇷🇺	러시아의 깃발
🇷🇼	르완다의 깃발
🇸🇦	사우디아라비아의 깃발
🇸🇧	솔로몬 제도의 깃발
🇸🇨	세이셸의 깃발
🇸🇩	수단의 깃발
🇸🇪	스웨덴의 깃발
🇸🇬	싱가포르의 깃발
🇸🇭	세인트헬레나의 깃발
🇸🇮	슬로베니아의 깃발
🇸🇯	스발바르제도-얀마웬섬의 깃발
🇸🇰	슬로바키아의 깃발
🇸🇱	시에라리온의 깃발
🇸🇲	산마리노의 깃발
🇸🇳	세네갈의 깃발
🇸🇴	소말리아의 깃발
🇸🇷	수리남의 깃발
🇸🇸	남수단의 깃발
🇸🇹	상투메 프린시페의 깃발
🇸🇻	엘살바도르의 깃발
🇸🇽	신트마르턴의 깃발
🇸🇾	시리아의 깃발
🇸🇿	스와질란드의 깃발
🇹🇦	트리스탄다쿠나의 깃발
🇹🇨	터크스 케이커스 제도의 깃발
🇹🇩	차드의 깃발
🇹🇫	프랑스 남부 지방의 깃발
🇹🇬	토고의 깃발
🇹🇭	태국의 깃발
🇹🇯	타지키스탄의 깃발
🇹🇰	토켈라우의 깃발
🇹🇱	동티모르의 깃발
🇹🇲	투르크메니스탄의 깃발
🇹🇳	튀니지의 깃발
🇹🇴	통가의 깃발
🇹🇷	터키의 깃발
🇹🇹	트리니다드 토바고의 깃발
🇹🇻	투발루의 깃발
🇹🇼	대만의 깃발
🇹🇿	탄자니아의 깃발
🇺🇦	우크라이나의 깃발
🇺🇬	우간다의 깃발
🇺🇲	미국령 해외 제도의 깃발
🇺🇳	유엔의 깃발
🇺🇸	미국의 깃발
🇺🇾	우루과이의 깃발
🇺🇿	우즈베키스탄의 깃발
🇻🇦	바티칸 시국의 깃발
🇻🇨	세인트빈센트그레나딘의 깃발
🇻🇪	베네수엘라의 깃발
🇻🇬	영국령 버진아일랜드의 깃발
🇻🇮	미국령 버진아일랜드의 깃발
🇻🇳	베트남의 깃발
🇻🇺	바누아투의 깃발
🇼🇫	왈리스-푸투나 제도의 깃발
🇼🇸	사모아의 깃발
🇽🇰	코소보의 깃발
🇾🇪	예멘의 깃발
🇾🇹	마요트의 깃발
🇿🇦	남아프리카의 깃발
🇿🇲	잠비아의 깃발
🇿🇼	짐바브웨의 깃발
🏴󠁧󠁢󠁥󠁮󠁧󠁿	잉글랜드의 깃발
🏴󠁧󠁢󠁳󠁣󠁴󠁿	스코틀랜드의 깃발
🏴󠁧󠁢󠁷󠁬󠁳󠁿	웨일즈의 깃발
#️⃣	샵 키
*️⃣	별표 키
0️⃣	숫자 영 키
1️⃣	숫자 일 키
2️⃣	숫자 이 키
3️⃣	숫자 삼 키
4️⃣	숫자 사 키
5️⃣	숫자 오 키
6️⃣	숫자 육 키
7️⃣	숫자 칠 키
8️⃣	숫자 팔 키
9️⃣	숫자 구 키
🩰	발레 슈즈
🩱	원피스 수영복
🩲	삼각 수영복
🩳	반바지
🩴	가락신
🩵	밝은 파란색 하트
🩶	회색 하트
🩷	분홍색 하트
🩸	핏방울
🩹	반창고
🩺	청진기
🩻	엑스레이
🩼	목발
🪀	요요
🪁	연
🪂	낙하산
🪃	부메랑
🪄	마술 지팡이
🪅	피냐타
🪆	네스팅 인형
🪇	마라카스
🪈	플루트
🪉	하프
🪏	삽
🪐	고리가 있는 행성
🪑	의자
🪒	면도칼
🪓	도끼
🪔	기름 램프
🪕	밴조
🪖	군용 헬멧
🪗	아코디언
🪘	긴 북
🪙	동전
🪚	목공 톱
🪛	드라이버
🪜	사다리
🪝	갈고리
🪞	거울
🪟	창문
🪠	뚫어뻥
🪡	바늘
🪢	매듭
🪣	양동이
🪤	쥐덫
🪥	칫솔
🪦	묘비
🪧	플래카드
🪨	바위
🪩	미러볼
🪪	신분증
🪫	배터리 부족
🪬	함사
🪭	접이식 손 부채
🪮	머리 빗
🪯	칸다
🪰	파리
🪱	지렁이
🪲	딱정벌레
🪳	바퀴벌레
🪴	분재
🪵	목재
🪶	깃털
🪷	연꽃
🪸	산호초
🪹	빈 둥지
🪺	알이 들어 있는 둥지
🪻	히아신스
🪼	해파리
🪽	날개
🪾	잎이 없는 나무
🪿	거위
🫀	심장
🫁	폐
🫂	포옹하는 사람
🫃	임신한 남자
🫄	임신한 사람
🫅	왕관을 쓴 사람
🫆	지문
🫎	무스
🫏	당나귀
🫐	블루베리
🫑	피망
🫒	올리브
🫓	플랫브레드
🫔	타말레
🫕	퐁듀
🫖	찻주전자
🫗	쏟아져 나오는 액체
🫘	콩
🫙	작은 병
🫚	생강 뿌리
🫛	완두콩 꼬투리
🫜	뿌리채소
🫟	튀어오른 액체
🫠	녹아 내리는 얼굴
🫡	경례하는 얼굴
🫢	눈을 뜨고 손으로 입을 가린 얼굴
🫣	한쪽 눈을 가리고 훔쳐보는 얼굴
🫤	입이 한쪽으로 올라간 얼굴
🫥	테두리가 점선으로 된 얼굴
🫦	입술을 깨물고 있는 입
🫧	거품
🫨	요동치는 얼굴
🫩	다크서클이 있는 얼굴
🫰	엄지와 중지를 교차한 손
🫱	오른쪽으로 향하는 손등
🫲	왼쪽으로 향하는 손바닥
🫳	손바닥을 아래로 향한 손
🫴	손바닥을 위로 향한 손
🫵	보는 사람을 가리키는 검지
🫶	손 하트
🫷	왼쪽으로 밀치는 손
🫸	오른쪽으로 밀치는 손
⛓‍💥	끊어진 쇠사슬
❤‍🔥	불 난 하트
❤‍🩹	낫고 있는 하트
🍄‍🟫	갈색 양송이 버섯
🍋‍🟩	라임
🏃‍♀‍➡	뛰는 여자 오른쪽을 향한
🏃‍♂‍➡	뛰는 남자 오른쪽을 향한
🏃‍➡	뛰는 사람 오른쪽을 향한
🏳‍⚧	트랜스젠더 깃발
🐈‍⬛	검은 고양이
🐕‍🦺	보조견
🐦‍⬛	검은 새
🐦‍🔥	불사조
🐻‍❄	북극곰
👨‍🍼	수유 중인 남자
👨‍🦯	지팡이를 든 남자
👨‍🦯‍➡	지팡이를 든 남자 오른쪽을 향한
👨‍🦰	남자 빨간 머리
👨‍🦱	남자 곱슬머리
👨‍🦲	남자 대머리
👨‍🦳	남자 백발
👨‍🦼	전동 휠체어를 탄 남자
👨‍🦼‍➡	전동 휠체어를 탄 남자 오른쪽을 향한
👨‍🦽	수동 휠체어를 탄 남자
👨‍🦽‍➡	수동 휠체어를 탄 남자 오른쪽을 향한
👩‍❤‍💋‍👨	여자와 남자가 키스하는 모습
👨‍❤‍💋‍👨	남자 두 명이 키스하는 모습
👩‍❤‍💋‍👩	여자 두 명이 키스하는 모습
👩‍❤‍👨	사랑하는 여자와 남자
👨‍❤‍👨	사랑하는 두 남자
👩‍❤‍👩	사랑하는 두 여자
👨‍👩‍👦	남자 한 명, 여자 한 명과 남자아이 한 명으로 구성된 가족
👨‍👩‍👧	남자 한 명, 여자 한 명과 여자아이 한 명으로 구성된 가족
👨‍👩‍👧‍👦	남자 한 명, 여자 한 명, 남자아이 한 명과 여자아이 한 명으로 구성된 가족
👨‍👩‍👦‍👦	남자 한 명, 여자 한 명과 남자아이 두 명으로 구성된 가족
👨‍👩‍👧‍👧	남자 한 명, 여자 한 명과 여자아이 두 명으로 구성된 가족
👨‍👨‍👦	남자 두 명과 남자아이 한 명으로 구성된 가족
👨‍👨‍👧	남자 두 명과 여자아이 한 명으로 구성된 가족
👨‍👨‍👧‍👦	남자 두 명, 남자아이 한 명과 여자아이 한 명으로 구성된 가족
👨‍👨‍👦‍👦	남자 두 명과 남자아이 두 명으로 구성된 가족
👨‍👨‍👧‍👧	남자 두 명과 여자아이 두 명으로 구성된 가족
👩‍🍼	수유 중인 여자
👩‍👩‍👦	여자 두 명과 남자아이 한 명으로 구성된 가족
👩‍👩‍👧	여자 두 명과 여자아이 한 명으로 구성된 가족
👩‍👩‍👧‍👦	여자 두 명, 남자아이 한 명과 여자아이 한 명으로 구성된 가족
👩‍👩‍👦‍👦	여자 두 명과 남자아이 두 명으로 구성된 가족
👩‍👩‍👧‍👧	여자 두 명과 여자아이 두 명으로 구성된 가족
👨‍👦	남자 한 명과 남자아이 한 명으로 구성된 가족
👨‍👦‍👦	남자 한 명과 남자아이 두 명으로 구성된 가족
👨‍👧	남자 한 명과 여자아이 한 명으로 구성된 가족
👨‍👧‍👦	남자 한 명, 남자아이 한 명과 여자아이 한 명으로 구성된 가족
👨‍👧‍👧	남자 한 명과 여자아이 두 명으로 구성된 가족
👩‍👦	여자 한 명과 남자아이 한 명으로 구성된 가족
👩‍👦‍👦	여자 한 명과 남자아이 두 명으로 구성된 가족
👩‍👧	여자 한 명과 여자아이 한 명으로 구성된 가족
👩‍👧‍👦	여자 한 명, 남자아이 한 명과 여자아이 한 명으로 구성된 가족
👩‍👧‍👧	여자 한 명과 여자아이 두 명으로 구성된 가족
👨‍⚕	남자 의료인
👩‍⚕	여자 의료인
👨‍⚖	남자 판사
👩‍⚖	여자 판사
👨‍✈	남자 기장
👩‍✈	여자 기장
👨‍🌾	남자 농부
👩‍🌾	여자 농부
👨‍🍳	남자 요리사
👩‍🍳	여자 요리사
👨‍🎓	남학생
👩‍🎓	여학생
👨‍🎤	남자 가수
👩‍🎤	여자 가수
👨‍🎨	남자 화가
👩‍🎨	여자 화가
👨‍🏫	남교사
👩‍🏫	여교사
👨‍🏭	공장 남자 직원
👩‍🏭	공장 여자 직원
👨‍💻	남자 기술 전문가
👩‍💻	여자 기술 전문가
👨‍💼	남자 회사원
👩‍💼	여자 회사원
👨‍🔧	남자 정비공
👩‍🔧	여자 정비공
👨‍🔬	남자 과학자
👩‍🔬	여자 과학자
👨‍🚀	남자 우주비행사
👩‍🚀	여자 우주비행사
👨‍🚒	남자 소방관
👩‍🚒	여자 소방관
👩‍🦯	지팡이를 든 여자
👩‍🦯‍➡	지팡이를 든 여자 오른쪽을 향한
👩‍🦰	여자 빨간 머리
👩‍🦱	여자 곱슬머리
👩‍🦲	여자 대머리
👩‍🦳	여자 백발
👩‍🦼	전동 휠체어를 탄 여자
👩‍🦼‍➡	전동 휠체어를 탄 여자 오른쪽을 향한
👩‍🦽	수동 휠체어를 탄 여자
👩‍🦽‍➡	수동 휠체어를 탄 여자 오른쪽을 향한
👮‍♀	여자 경찰관
👮‍♂	남자 경찰관
👰‍♀	면사포를 쓴 여자
👰‍♂	면사포를 쓴 남자
👱‍♀	금발 여자
👱‍♂	금발 남자
👳‍♀	터번을 쓰고 있는 여자
👳‍♂	터번을 쓰고 있는 남자
👷‍♀	건설 현장 여자 노동자
👷‍♂	건설 현장 남자 노동자
💂‍♀	여자 근위병
💂‍♂	남자 근위병
🕵️‍♀	여자 탐정
🕵️‍♂	남자 탐정
😮‍💨	날숨 쉬는 얼굴
😵‍💫	현기증 난 얼굴
😶‍🌫	공상에 잠긴 얼굴
🙂‍↔	도리도리
🙂‍↕	끄덕끄덕
🚶‍♀‍➡	걷는 여자 오른쪽을 향한
🚶‍♂‍➡	걷는 남자 오른쪽을 향한
🚶‍➡	보행자 오른쪽을 향한
🤵‍♀	턱시도를 입은 여자
🤵‍♂	턱시도를 입은 남자
🦸‍♀	여자 히어로
🦸‍♂	남자 히어로
🦹‍♀	여자 슈퍼 악당
🦹‍♂	남자 슈퍼 악당
🧍‍♀	서 있는 여자
🧍‍♂	서 있는 남자
🧎‍♀	무릎을 꿇은 여자
🧎‍♀‍➡	무릎을 꿇은 여자 오른쪽을 향한
🧎‍♂	무릎을 꿇은 남자
🧎‍♂‍➡	무릎을 꿇은 남자 오른쪽을 향한
🧎‍➡	무릎을 꿇은 사람 오른쪽을 향한
🧏‍♀	청각장애가 있는 여자
🧏‍♂	청각장애가 있는 남자
🧑‍⚕	의료인
🧑‍⚖	판사
🧑‍✈	기장
🧑‍🌾	농부
🧑‍🍳	요리사
🧑‍🍼	수유 중인 사람
🧑‍🎄	산타
🧑‍🎓	학생
🧑‍🎤	가수
🧑‍🎨	화가
🧑‍🏫	교사
🧑‍🏭	공장 직원
🧑‍💻	기술 전문가
🧑‍💼	회사원
🧑‍🔧	정비공
🧑‍🔬	과학자
